"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33605-16363","SF","Joe","Joe Harris","Harris","22.034849224668562","66","4700","BKN@LAC","BKN","LAC","","","","",""
"33605-23407","PF","PJ","PJ Tucker","Tucker","22.184057263360508","69","4600","MIN@HOU","HOU","MIN","","","","",""
"33605-9481","PF","Taj","Taj Gibson","Gibson","23.54264741785386","68","4500","MIN@HOU","MIN","HOU","","","","",""
"33605-84707","SF","Chandler","Chandler Hutchison","Hutchison","12.818181818181818","44","4400","CHI@SAC","CHI","SAC","O","Toe","","",""
"33605-84724","PG","Landry","Landry Shamet","Shamet","14.20882370892693","68","4400","BKN@LAC","LAC","BKN","","","","",""
"33605-84688","SF","Keita","Keita Bates-Diop","Bates-Diop","10.741176829618567","17","4200","MIN@HOU","MIN","HOU","","","","",""
"33605-15501","SG","Allen","Allen Crabbe","Crabbe","16.781394781068315","43","4100","BKN@LAC","BKN","LAC","O","Knee","","",""
"33605-55056","PF","Dario","Dario Saric","Saric","19.95735258214614","68","4000","MIN@HOU","MIN","HOU","","","","",""
"33605-12365","PF","Ed","Ed Davis","Davis","18.920000348772323","70","3900","BKN@LAC","BKN","LAC","","","","",""
"33605-49336","SF","DeAndre'","DeAndre' Bembry","Bembry","20.4","70","3900","ATL@ORL","ATL","ORL","","","","",""
"33605-23740","PG","Ryan","Ryan Arcidiacono","Arcidiacono","16.19710109544837","69","3900","CHI@SAC","CHI","SAC","GTD","Undisclosed","","",""
"33605-9787","SF","DeMarre","DeMarre Carroll","Carroll","20.035087719298247","57","3800","BKN@LAC","BKN","LAC","","","","",""
"33605-16081","PF","Khem","Khem Birch","Birch","12.2552634791324","38","3800","ATL@ORL","ORL","ATL","","","","",""
"33605-23294","SF","Danuel","Danuel House","House","17.09230745755709","26","3800","MIN@HOU","HOU","MIN","","","","",""
"33605-48940","SF","Wes","Wes Iwundu","Iwundu","11.019642421177455","56","3700","ATL@ORL","ORL","ATL","","","","",""
"33605-15405","PF","JaMychal","JaMychal Green","Green","20.514546342329545","55","3700","BKN@LAC","LAC","BKN","","","","",""
"33605-9810","PG","Jerryd","Jerryd Bayless","Bayless","13.970832824707031","24","3700","MIN@HOU","MIN","HOU","","","","",""
"33605-15975","SG","C.J.","C.J. Williams","Williams","4.458333333333333","12","3700","MIN@HOU","MIN","HOU","","","","",""
"33605-49115","SG","Wayne","Wayne Selden","Selden","11.806349012586805","63","3700","CHI@SAC","CHI","SAC","","","","",""
"33605-9479","SF","Luol","Luol Deng","Deng","14.98181845925071","22","3600","MIN@HOU","MIN","HOU","GTD","Achilles","","",""
"33605-23826","PF","Alex","Alex Poythress","Poythress","12.033333188011532","21","3600","ATL@ORL","ATL","ORL","GTD","Ankle","","",""
"33605-9796","PF","Luc","Luc Mbah a Moute","Mbah a Moute","8.850000381469727","4","3600","BKN@LAC","LAC","BKN","GTD","Knee","","",""
"33605-9849","SF","Gerald","Gerald Green","Green","15.226154033954327","65","3600","MIN@HOU","HOU","MIN","","","","",""
"33605-15996","PG","Jerian","Jerian Grant","Grant","12.221818403764205","55","3600","ATL@ORL","ORL","ATL","","","","",""
"33605-9606","SF","Corey","Corey Brewer","Brewer","13.517647238338695","17","3600","CHI@SAC","SAC","CHI","","","","",""
"33605-101266","SG","Cameron","Cameron Reynolds","Reynolds","8.866666793823242","6","3600","MIN@HOU","MIN","HOU","","","","",""
"33605-84689","SG","Josh","Josh Okogie","Okogie","15.950000393775202","62","3600","MIN@HOU","MIN","HOU","","","","",""
"33605-84705","PF","Omari","Omari Spellman","Spellman","15.158695386803668","46","3600","ATL@ORL","ATL","ORL","O","Ankle","","",""
"33605-9731","C","Kosta","Kosta Koufos","Koufos","11.743749618530273","32","3500","CHI@SAC","SAC","CHI","","","","",""
"33605-85521","SF","Theo","Theo Pinson","Pinson","9.393332926432292","15","3500","BKN@LAC","BKN","LAC","","","","",""
"33605-48668","PG","Troy","Troy Caupain","Caupain","5.966666539510091","3","3500","ATL@ORL","ORL","ATL","","","","",""
"33605-23581","PF","Amile","Amile Jefferson","Jefferson","3.6000000635782876","6","3500","ATL@ORL","ORL","ATL","","","","",""
"33605-101412","SG","Brandon","Brandon Sampson","Sampson","3.6599998474121094","5","3500","CHI@SAC","CHI","SAC","","","","",""
"33605-9512","C","","Nene","Nene","10.591428920200892","35","3500","MIN@HOU","HOU","MIN","","","","",""
"33605-66104","PG","Isaiah","Isaiah Briscoe","Briscoe","9.315384302383814","39","3500","ATL@ORL","ORL","ATL","O","Knee","","",""
"33605-82744","PG","Shaquille","Shaquille Harrison","Harrison","14.73934386206455","61","3500","CHI@SAC","CHI","SAC","","","","",""
"33605-11074","SG","Garrett","Garrett Temple","Temple","16.836507161458332","63","3500","BKN@LAC","LAC","BKN","","","","",""
"33605-66114","SG","Antonio","Antonio Blakeney","Blakeney","10.591666539510092","48","3500","CHI@SAC","CHI","SAC","","","","",""
"33605-20806","SG","Treveon","Treveon Graham","Graham","11.551851625795718","27","3500","BKN@LAC","BKN","LAC","","","","",""
"33605-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","9.443750381469727","16","3500","ATL@ORL","ORL","ATL","","","","",""
"33605-84808","SG","Jaylen","Jaylen Adams","Adams","7.722726995294744","22","3500","ATL@ORL","ATL","ORL","","","","",""
"33605-15961","C","Tyler","Tyler Zeller","Zeller","4.349999904632568","2","3500","ATL@ORL","ATL","ORL","","","","",""
"33605-84830","SG","Jared","Jared Terrell","Terrell","4.477777693006727","9","3500","MIN@HOU","MIN","HOU","","","","",""
"33605-84836","C","Angel","Angel Delgado","Delgado","10.800000190734863","1","3500","BKN@LAC","LAC","BKN","","","","",""
"33605-40819","PF","Jarell","Jarell Martin","Martin","6.237142944335938","35","3500","ATL@ORL","ORL","ATL","","","","",""
"33605-41077","SG","Sindarius","Sindarius Thornwell","Thornwell","2.928846212533804","52","3500","BKN@LAC","LAC","BKN","","","","",""
"33605-24186","SG","Tyrone","Tyrone Wallace","Wallace","7.366666440610532","54","3500","BKN@LAC","LAC","BKN","","","","",""
"33605-41597","PF","Johnathan","Johnathan Motley","Motley","8.705882352941176","17","3500","BKN@LAC","LAC","BKN","","","","",""
"33605-17542","PF","Alan","Alan Williams","Williams","10.225000381469727","4","3500","BKN@LAC","BKN","LAC","","","","",""
"33605-12424","C","Timofey","Timofey Mozgov","Mozgov","9.229032454952117","31","3500","ATL@ORL","ORL","ATL","GTD","Knee","","",""
"33605-66185","PF","Caleb","Caleb Swanigan","Swanigan","5.772222306993273","18","3500","CHI@SAC","SAC","CHI","","","","",""
"33605-15757","PF","Terrence","Terrence Jones","Jones","2.9000000953674316","2","3500","MIN@HOU","HOU","MIN","","","","",""
"33605-15771","C","Gorgui","Gorgui Dieng","Dieng","14.031746031746032","63","3500","MIN@HOU","MIN","HOU","","","","",""
"33605-9636","SF","Wilson","Wilson Chandler","Chandler","16.8000003130008","39","3500","BKN@LAC","LAC","BKN","","","","",""
"33605-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","19.480000443892045","55","3500","BKN@LAC","BKN","LAC","","","","",""
"33605-80805","SG","Markelle","Markelle Fultz","Fultz","19.394736842105264","19","3500","ATL@ORL","ORL","ATL","O","Shoulder","","",""
"33605-42662","SF","Troy","Troy Williams","Williams","12.777777777777779","18","3500","CHI@SAC","SAC","CHI","","","","",""
"33605-70825","SG","Timothe","Timothe Luwawu-Cabarrot","Luwawu-Cabarrot","5.831579107987253","38","3500","CHI@SAC","CHI","SAC","","","","",""
"33605-14510","SG","Alec","Alec Burks","Burks","18.586886046362704","61","3500","CHI@SAC","SAC","CHI","","","","",""
"33605-14515","SG","Iman","Iman Shumpert","Shumpert","17.78269254244291","52","3500","MIN@HOU","HOU","MIN","","","","",""
"33605-9654","SF","Vince","Vince Carter","Carter","13.8015380859375","65","3500","ATL@ORL","ATL","ORL","","","","",""
"33605-80825","PF","Isaiah","Isaiah Hartenstein","Hartenstein","6.459259033203125","27","3500","MIN@HOU","HOU","MIN","GTD","Achilles","","",""
"33605-9920","PF","Anthony","Anthony Tolliver","Tolliver","9.86923100398137","52","3500","MIN@HOU","MIN","HOU","","","","",""
"33605-23744","SG","Justin","Justin Anderson","Anderson","5.943243078283362","37","3500","ATL@ORL","ATL","ORL","","","","",""
"33605-84675","C","Mohamed","Mohamed Bamba","Bamba","17.406382459275267","47","3500","ATL@ORL","ORL","ATL","O","Lower leg","","",""
"33605-84677","PG","Jerome","Jerome Robinson","Robinson","5.924000244140625","25","3500","BKN@LAC","LAC","BKN","","","","",""
"33605-84676","PF","Wendell","Wendell Carter Jr.","Carter Jr.","25.62272782759233","44","3500","CHI@SAC","CHI","SAC","O","Thumb","","",""
"33605-101318","SG","Justin","Justin Bibbs","Bibbs","0","0","3500","BKN@LAC","LAC","BKN","","","","",""
"33605-15560","PG","Shabazz","Shabazz Napier","Napier","17.246296070240163","54","3500","BKN@LAC","BKN","LAC","GTD","Hamstring","","",""
"33605-9677","SF","Jared","Jared Dudley","Dudley","11.43800048828125","50","3500","BKN@LAC","BKN","LAC","","","","",""
"33605-101327","SF","BJ","BJ Johnson","Johnson","6.519999694824219","5","3500","ATL@ORL","ATL","ORL","","","","",""
"33605-101331","SF","Gary","Gary Clark","Clark","9.335714431036086","42","3500","MIN@HOU","HOU","MIN","","","","",""
"33605-49114","SG","Frank","Frank Mason","Mason","10.694117826573988","34","3500","CHI@SAC","SAC","CHI","","","","",""
"33605-84698","SF","Dzanan","Dzanan Musa","Musa","3.0374999046325684","8","3500","BKN@LAC","BKN","LAC","","","","",""
"33605-85466","PF","Wenyen","Wenyen Gabriel","Gabriel","0","0","3500","CHI@SAC","SAC","CHI","","","","",""
"33605-23772","PG","Yogi","Yogi Ferrell","Ferrell","11.708772358141447","57","3500","CHI@SAC","SAC","CHI","","","","",""
"33605-15591","C","Miles","Miles Plumlee","Plumlee","9.572222391764322","18","3500","ATL@ORL","ATL","ORL","GTD","Knee","","",""
"33605-15592","SG","Austin","Austin Rivers","Rivers","16.36769268329327","65","3500","MIN@HOU","HOU","MIN","","","","",""
"33605-84712","SF","Vincent","Vincent Edwards","Edwards","2.700000047683716","2","3500","MIN@HOU","HOU","MIN","","","","",""
"33605-84720","SF","Melvin","Melvin Frazier Jr.","Frazier Jr.","2.6624999046325684","8","3500","ATL@ORL","ORL","ATL","","","","",""
"33605-63478","C","Cristiano","Cristiano Felicio","Felicio","7.654166539510091","48","3500","CHI@SAC","CHI","SAC","","","","",""
"33605-85242","SG","Rawle","Rawle Alkins","Alkins","4.200000127156575","3","3500","CHI@SAC","CHI","SAC","","","","",""
