Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,PER,USG,DP,MPG,UQR,NFPROJ,FullName,BOOM
33983-9862:Amir Johnson,33983-9862,PF,Amir,Johnson,9.571738865064537,46,3500,PHI@MIN,PHI,MIN,,,,,,16.040000000000003,12.5,17.9,0.8962848670194341,17.0,22.1,10.9,Amir Johnson,9.099104387305145
33983-58247:Isaiah Whitehead,33983-58247,PG,Isaiah,Whitehead,10.449999809265137,16,3500,POR@DET,DET,POR,,,,,,-1000.0,-1000.0,-1000.0,0.5808015906524132,0.0,,0.0,Isaiah Whitehead,
33983-102025:Haywood Highsmith,33983-102025,SF,Haywood,Highsmith,3.5999999046325684,2,3500,PHI@MIN,PHI,MIN,,,,,,3.6,17.3,9.3,0.9532243274403575,-1000.0,3.8,0.0,Haywood Highsmith,-149.7409109401408
33983-85137:Duncan Robinson,33983-85137,SG,Duncan,Robinson,4.799999872843425,12,3500,MIA@NY,MIA,NYK,,,,,,5.06,7.8,12.2,0.9613419813281776,9.0,7.2,10.9,Duncan Robinson,5.284870441782942
33983-101266:Cameron Reynolds,33983-101266,SG,Cameron,Reynolds,6.883333206176758,12,3500,PHI@MIN,MIN,PHI,,,,,,-1000.0,6.3,12.1,0.2728678141905293,-1000.0,,-189238.0,Cameron Reynolds,
33983-66455:Henry Ellenson,33983-66455,PF,Henry,Ellenson,11.5999995640346,14,3500,MIA@NY,NYK,MIA,,,,,,9.8,11.8,19.3,0.016160640219438013,8.2,15.85,6.3,Henry Ellenson,7.120978672864044
33983-12443:Jeremy Lin,33983-12443,PG,Jeremy,Lin,18.327535878057066,69,3500,TOR@CHI,TOR,CHI,,,,,,14.939999999999998,14.2,22.3,0.6204247816496155,18.2,20.65,19.7,Jeremy Lin,10.304484928837256
33983-58270:Edmond Sumner,33983-58270,PG,Edmond,Sumner,5.625,20,3500,ORL@IND,IND,ORL,,,,,,7.88,4.7,16.0,0.2477827385895038,10.0,5.0,0.1,Edmond Sumner,5.404034705088769
33983-70825:Timothe Luwawu-Cabarrot,33983-70825,SG,Timothe,Luwawu-Cabarrot,6.977272727272728,44,3500,TOR@CHI,CHI,TOR,,,,,,14.1,7.1,15.1,0.4366497743050642,19.2,12.85,15.1,Timothe Luwawu-Cabarrot,6.7446876507796825
33983-14508:Jimmer Fredette,33983-14508,SG,Jimmer,Fredette,5.550000190734863,2,3500,MEM@PHO,PHO,MEM,,,,,,-1000.0,-1000.0,-1000.0,0.2962412394749948,-1000.0,,3.8,Jimmer Fredette,
33983-80818:T.J. Leaf,33983-80818,PF,T.J.,Leaf,7.515384380634013,52,3500,ORL@IND,IND,ORL,,,,,,3.5400000000000005,15.0,16.4,0.14859929114980075,4.2,4.4,12.1,T.J. Leaf,5.222921127433311
33983-48570:Isaiah Hicks,33983-48570,PF,Isaiah,Hicks,2.5,1,3500,MIA@NY,NYK,MIA,,,,,,-1000.0,13.8,9.4,0.016160640219438013,13.8,,0.0,Isaiah Hicks,
33983-9920:Anthony Tolliver,33983-9920,PF,Anthony,Tolliver,10.351724558863149,58,3500,PHI@MIN,MIN,PHI,,,,,,13.38,8.9,12.5,0.16375140950950012,17.8,15.55,12.1,Anthony Tolliver,5.923792661550964
33983-84672:Zhaire Smith,33983-84672,SG,Zhaire,Smith,7.199999809265138,1,3500,PHI@MIN,PHI,MIN,,,,,,-1000.0,-1000.0,-1000.0,0.8842912792861917,-1000.0,,-189238.0,Zhaire Smith,
33983-14539:Jon Leuer,33983-14539,PF,Jon,Leuer,8.263157894736842,38,3500,POR@DET,DET,POR,,,,,,4.359999999999999,13.7,16.5,0.16311259895240496,6.8,4.45,0.4,Jon Leuer,5.4596915008810445
33983-58574:Jonah Bolden,33983-58574,PF,Jonah,Bolden,12.257894415604438,38,3500,PHI@MIN,PHI,MIN,,,,,,14.440000000000003,12.0,13.8,0.8962848670194341,14.4,23.1,19.7,Jonah Bolden,7.986477468307232
33983-84687:George King,33983-84687,SF,George,King,1.2000000476837158,1,3500,MEM@PHO,PHO,MEM,,,,,,1.2,1.9,0.0,0.08921173087682555,-1000.0,1.2,0.0,George King,-47.28028778321396
33983-16335:John Jenkins,33983-16335,SF,John,Jenkins,5.354999923706055,20,3500,MIA@NY,NYK,MIA,,,,,,-1000.0,8.2,16.6,0.10268166989249719,-1000.0,,8.0,John Jenkins,
33983-84686:Elie Okobo,33983-84686,PG,Elie,Okobo,12.11276569772274,47,3500,MEM@PHO,PHO,MEM,,,,,,3.8600000000000003,6.8,17.0,0.274638811751623,8.0,4.25,10.3,Elie Okobo,6.044927453612443
33983-67025:Ivan Rabb,33983-67025,PF,Ivan,Rabb,12.133333478655135,42,3500,MEM@PHO,MEM,PHO,,,,,,11.58,17.9,17.1,0.8050710234474617,14.2,14.9,17.0,Ivan Rabb,8.068064958244992
33983-16081:Khem Birch,33983-16081,PF,Khem,Birch,12.345454822887074,44,3500,ORL@IND,ORL,IND,,,,,,17.1,18.9,13.3,0.7358182282147584,14.4,21.15,13.1,Khem Birch,7.411188296635167
33983-84691:Shake Milton,33983-84691,SG,Shake,Milton,9.326666259765622,15,3500,PHI@MIN,PHI,MIN,,,,,,12.459999999999999,14.9,17.0,0.8842912792861917,15.8,14.4,0.1,Shake Milton,8.171172079436406
33983-84695:Gary Trent,33983-84695,SG,Gary,Trent,2.546153728778546,13,3500,POR@DET,POR,DET,,,,,,0.68,-0.4,22.7,0.13093855268365373,2.6,0.2,0.0,Gary Trent,6.032697766432617
33983-84694:Bruce Brown,33983-84694,SG,Bruce,Brown,11.441790680387127,67,3500,POR@DET,DET,POR,,,,,,10.220000000000002,6.5,11.9,0.6108844932212483,16.0,9.4,8.5,Bruce Brown,6.176749821019362
