Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR,FullName,BOOM
33809-14510:Alec Burks,33809-14510,SG,Alec,Burks,18.37419276083669,62,3500,SAC@LAL,SAC,LAL,,,,,,7.44,7.8,12.7,19.2,0.9674388814463598,9.45,Alec Burks,8.129502244764518
33809-18376:Damion Lee,33809-18376,SG,Damion,Lee,7.2592592592592595,27,3500,DET@GS,GSW,DET,,,,,,2.62,4.2,9.4,16.0,0.13093855268365373,2.5,Damion Lee,4.9760639692758994
33809-14539:Jon Leuer,33809-14539,PF,Jon,Leuer,8.633332994249132,36,3500,DET@GS,DET,GSW,,,,,,4.359999999999999,6.8,13.7,16.5,0.9595981954440151,4.45,Jon Leuer,6.167056240011211
33809-23248:RJ Hunter,33809-23248,SG,RJ,Hunter,7.3,5,3500,SA@BOS,BOS,SAS,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.2741203755925768,,RJ Hunter,
33809-101331:Gary Clark,33809-101331,SF,Gary,Clark,8.98409063165838,44,3500,HOU@NO,HOU,NOP,,,,,,4.96,4.4,9.1,9.7,0.963011878842806,5.45,Gary Clark,4.192500371324987
33809-9940:Dante Cunningham,33809-9940,SF,Dante,Cunningham,9.8135593220339,59,3500,SA@BOS,SAS,BOS,,,,,,2.4,5.8,10.7,8.8,0.06745440970932684,3.2,Dante Cunningham,3.4821510788689216
33809-48598:Semi Ojeleye,33809-48598,SF,Semi,Ojeleye,6.065999755859375,50,3500,SA@BOS,BOS,SAS,,,,,,5.299999999999999,9.2,8.6,13.4,0.17603947244129312,9.4,Semi Ojeleye,4.9519693130472655
33809-84697:Jacob Evans,33809-84697,SG,Jacob,Evans,2.3407407689977577,27,3500,DET@GS,GSW,DET,,,,,,3.9799999999999995,6.4,0.7,12.9,0.13093855268365373,6.05,Jacob Evans,4.12561636529604
33809-42202:Christian Wood,33809-42202,PF,Christian,Wood,4.6923076923076925,13,3500,HOU@NO,NOP,HOU,,,,,,1.9200000000000004,3.0,17.2,23.5,0.1178178381888048,3.2,Christian Wood,6.615967647350412
33809-49114:Frank Mason,33809-49114,SG,Frank,Mason,10.502857317243304,35,3500,SAC@LAL,SAC,LAL,,,,,,6.58,6.6,12.5,20.5,0.9674388814463598,6.75,Frank Mason,7.444008468358178
33809-23772:Yogi Ferrell,33809-23772,PG,Yogi,Ferrell,11.344262295081966,61,3500,SAC@LAL,SAC,LAL,,,,,,7.2,10.4,12.7,16.1,0.9531638879619686,10.9,Yogi Ferrell,7.238582447324136
33809-84701:Chimezie Metu,33809-84701,PF,Chimezie,Metu,4.231034377525591,29,3500,SA@BOS,SAS,BOS,,,,,,1.52,2.8,6.4,24.4,0.008849212459396624,3.2,Chimezie Metu,6.766577192276886
33809-15582:Quinn Cook,33809-15582,PG,Quinn,Cook,11.279687881469727,64,3500,DET@GS,GSW,DET,,,,,,11.3,16.6,11.8,20.0,0.10850999209079994,12.2,Quinn Cook,7.518393473425734
33809-84702:Lonnie Walker IV,33809-84702,SG,Lonnie,Walker IV,6.377777947319879,9,3500,SA@BOS,SAS,BOS,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.190954507181358,,Lonnie Walker IV,
33809-58083:Jahlil Okafor,33809-58083,C,Jahlil,Okafor,15.55490172143076,51,3500,HOU@NO,NOP,HOU,,,,,,15.7,14.4,17.8,19.9,0.02617028944530626,18.6,Jahlil Okafor,8.040284476772822
33809-18919:Scott Machado,33809-18919,SG,Scott,Machado,0.0,0,3500,SAC@LAL,LAL,SAC,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.9537718798989038,,Scott Machado,
33809-15592:Austin Rivers,33809-15592,SG,Austin,Rivers,16.149253731343286,67,3500,HOU@NO,HOU,NOP,,,,,,7.6,19.4,7.7,14.5,0.9662231617134047,9.2,Austin Rivers,8.545813157085416
33809-84713:Svi Mykhailiuk,33809-84713,SG,Svi,Mykhailiuk,6.088095165434338,42,3500,DET@GS,DET,GSW,,,,,,3.9200000000000004,8.4,-1000.0,-1000.0,0.75647983808866,6.0,Svi Mykhailiuk,-248.08102433855217
33809-84712:Vincent Edwards,33809-84712,SF,Vincent,Edwards,2.700000047683716,2,3500,HOU@NO,HOU,NOP,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.963011878842806,,Vincent Edwards,
33809-84714:Moritz Wagner,33809-84714,C,Moritz,Wagner,7.39999990752249,33,3500,SAC@LAL,LAL,SAC,,,,,,5.76,9.2,10.9,21.8,0.07518358118822295,7.1,Moritz Wagner,6.935831920798685
33809-9454:Zaza Pachulia,33809-9454,C,Zaza,Pachulia,12.657626911745233,59,3500,DET@GS,DET,GSW,,,,,,8.16,7.0,14.4,14.9,0.9440138779340027,7.9,Zaza Pachulia,6.331725430773437
33809-58350:Stanley Johnson,33809-58350,SF,Stanley,Johnson,14.783606357261784,61,3500,HOU@NO,NOP,HOU,,,,,,12.98,12.2,9.4,19.2,0.13603071910076447,17.55,Stanley Johnson,7.758638304271895
33809-97263:Drew Eubanks,33809-97263,PF,Drew,Eubanks,4.578947368421051,19,3500,SA@BOS,SAS,BOS,,,,,,4.8,4.0,17.5,15.0,0.008849212459396624,7.5,Drew Eubanks,4.763173224725213
33809-9712:Jose Calderon,33809-9712,PG,Jose,Calderon,7.90625,48,3500,DET@GS,DET,GSW,,,,,,3.6,4.4,7.2,10.9,0.4436876585033643,4.85,Jose Calderon,4.0538043604020935
33809-84723:Khyri Thomas,33809-84723,SG,Khyri,Thomas,5.608695652173912,23,3500,DET@GS,DET,GSW,,,,,,5.8999999999999995,5.4,7.3,16.9,0.75647983808866,7.45,Khyri Thomas,5.824424131416011
33809-84722:Isaac Bonga,33809-84722,SF,Isaac,Bonga,3.2076923663799577,13,3500,SAC@LAL,LAL,SAC,,,,,,2.1,2.6,7.0,19.3,0.5817103865982473,3.45,Isaac Bonga,5.568120702893899
33809-23800:Glenn Robinson,33809-23800,SF,Glenn,Robinson,7.2547621954055055,42,3500,DET@GS,DET,GSW,,,,,,7.779999999999999,11.4,8.0,15.3,0.8804033113420193,11.65,Glenn Robinson,6.770066491951344
33809-85241:Johnathan Williams,33809-85241,PF,Johnathan,Williams,9.466666666666667,15,3500,SAC@LAL,LAL,SAC,,,,,,5.9799999999999995,10.0,10.8,15.5,0.12206972962474516,10.4,Johnathan Williams,5.817505080144949
33809-97018:Chris Chiozza,33809-97018,PG,Chris,Chiozza,0.0,0,3500,HOU@NO,HOU,NOP,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.9570576865000411,,Chris Chiozza,
