Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,PER,USG,DP,MPG,UQR,NFPROJ,FullName,BOOM
33857-58247:Isaiah Whitehead,33857-58247,PG,Isaiah,Whitehead,10.449999809265137,16,3500,DET@DEN,DET,DEN,,,,,,-1000.0,-1000.0,-1000.0,0.11383304938551116,0.0,,0.0,Isaiah Whitehead,
33857-95117:Deng Adel,33857-95117,SF,Deng,Adel,4.093333435058594,15,3500,BOS@CLE,CLE,BOS,,,,,,0.96,1.4,9.4,0.06745440970932684,5.2,1.2,0.3,Deng Adel,6.253118574284256
33857-9613:Devin Harris,33857-9613,PG,Devin,Harris,12.023333740234374,60,3500,SAC@DAL,DAL,SAC,,,,,,15.36,11.1,18.4,0.9932407027012011,17.4,19.6,16.6,Devin Harris,13.592158393590589
33857-15757:Terrence Jones,33857-15757,PF,Terrence,Jones,2.900000095367432,2,3500,HOU@MIL,HOU,MIL,,,,,,-1000.0,-15.8,47.3,0.8626607532031234,-1000.0,,0.0,Terrence Jones,
33857-15758:Michael Kidd-Gilchrist,33857-15758,SF,Michael,Kidd-Gilchrist,15.855171992860992,58,3500,SA@CHA,CHO,SAS,,,,,,7.1800000000000015,13.6,15.9,0.17603947244129312,10.6,8.65,6.7,Michael Kidd-Gilchrist,9.673310521212173
33857-9615:Courtney Lee,33857-9615,SG,Courtney,Lee,8.0333331072772,27,3500,SAC@DAL,DAL,SAC,,,,,,4.26,10.1,14.3,0.9537718798989038,5.0,3.2,1.1,Courtney Lee,9.207889337343174
33857-15762:Darius Miller,33857-15762,SF,Darius,Miller,15.611940298507465,67,3500,ATL@NO,NOP,ATL,,,,,,19.46,8.5,13.3,0.9909173606671299,28.4,18.35,15.6,Darius Miller,13.525692225314177
33857-101266:Cameron Reynolds,33857-101266,SG,Cameron,Reynolds,6.55,10,3500,LAC@MIN,MIN,LAC,,,,,,-1000.0,6.3,12.1,0.4245324672066487,-1000.0,,-189238.0,Cameron Reynolds,
33857-16790:Brad Wanamaker,33857-16790,PG,Brad,Wanamaker,6.919354838709677,31,3500,BOS@CLE,BOS,CLE,,,,,,4.54,13.3,16.5,0.8729485459481929,6.0,4.45,9.4,Brad Wanamaker,9.821642604610474
33857-15771:Gorgui Dieng,33857-15771,C,Gorgui,Dieng,13.974626683477144,67,3500,LAC@MIN,MIN,LAC,,,,,,13.040000000000001,17.1,18.1,0.8278553388308058,9.0,13.9,6.3,Gorgui Dieng,11.761082073912315
33857-9636:Wilson Chandler,33857-9636,SF,Wilson,Chandler,15.71162733920785,43,3500,LAC@MIN,LAC,MIN,,,,,,5.42,8.6,11.3,0.9532243274403575,11.4,6.2,7.2,Wilson Chandler,9.511481162894327
33857-80816:Malik Monk,33857-80816,SG,Malik,Monk,14.893750190734865,64,3500,SA@CHA,CHO,SAS,,,,,,12.2,12.3,25.6,0.2741203755925768,13.2,16.8,5.8,Malik Monk,13.548291931459994
33857-101311:Bonzie Colson,33857-101311,SF,Bonzie,Colson,3.4500000476837163,2,3500,HOU@MIL,MIL,HOU,,,,,,-1000.0,-12.7,14.0,0.13603071910076447,-1000.0,,13.0,Bonzie Colson,
33857-101318:Justin Bibbs,33857-101318,SG,Justin,Bibbs,0.0,0,3500,LAC@MIN,LAC,MIN,,,,,,-1000.0,-1000.0,-1000.0,0.8842912792861917,-1000.0,,-189238.0,Justin Bibbs,
33857-9678:Channing Frye,33857-9678,PF,Channing,Frye,6.669697154651987,33,3500,BOS@CLE,CLE,BOS,,,,,,6.1,8.6,16.5,0.008849212459396624,7.6,8.45,0.0,Channing Frye,9.518337223198902
33857-101327:BJ Johnson,33857-101327,SF,BJ,Johnson,5.7666664123535165,6,3500,ATL@NO,ATL,NOP,,,,,,-1000.0,-1000.0,-1000.0,0.963011878842806,-1000.0,,-189238.0,BJ Johnson,
33857-101331:Gary Clark,33857-101331,SF,Gary,Clark,8.837778049045141,45,3500,HOU@MIL,HOU,MIL,,,,,,4.96,9.1,9.7,0.6907825095138188,4.4,5.45,0.2,Gary Clark,7.2552457111151964
