Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR
Zaza Pachulia,33785-9454,C,Zaza,Pachulia,12.777585785964439,58,3500,DET@POR,DET,POR,,,,,,6.24,10.0,15.2,14.7,0.05714310375826896,10.25
Sam Dekker,33785-23282,SF,Sam,Dekker,13.657142275855653,42,3500,MIA@WAS,WAS,MIA,,,,,,11.639999999999999,12.8,14.8,16.4,0.10268166989249719,17.5
Khyri Thomas,33785-84723,SG,Khyri,Thomas,5.608695652173912,23,3500,DET@POR,DET,POR,,,,,,3.6199999999999997,7.2,7.8,14.9,0.6108844932212483,5.45
Kostas Antetokounmpo,33785-84725,PF,Kostas,Antetokounmpo,7.199999809265138,1,3500,DAL@GS,DAL,GSW,,,,,,-1000.0,-1000.0,-1000.0,-1000.0,0.9595981954440151,
Ray Spalding,33785-84726,PF,Ray,Spalding,6.320000076293947,5,3500,PHO@SAC,PHO,SAC,,,,,,0.0,-1000.0,0.0,0.0,0.12206972962474516,0.0
Yuta Watanabe,33785-85238,SF,Yuta,Watanabe,6.279999923706055,10,3500,MIN@MEM,MEM,MIN,,,,,,9.32,14.4,7.1,16.8,0.9532243274403575,10.1
Glenn Robinson,33785-23800,SF,Glenn,Robinson,7.2547621954055055,42,3500,DET@POR,DET,POR,,,,,,6.82,7.4,6.8,14.7,0.31260783938028364,11.8
Rawle Alkins,33785-85242,SG,Rawle,Alkins,4.200000127156575,3,3500,UTA@CHI,CHI,UTA,,,,,,2.7,-1000.0,37.9,29.3,0.018682861759744582,4.050000000000001
Charles Cooke,33785-23300,SG,Charles,Cooke,0.9153845860407904,13,3500,MIA@WAS,MIA,WAS,,,,,,-1000.0,0.8,-1000.0,-1000.0,0.7411806524335207,
Raul Neto,33785-40208,PG,Raul,Neto,11.532258064516132,31,3500,UTA@CHI,UTA,CHI,,,,,,13.040000000000001,11.6,13.6,17.8,0.6204247816496155,13.8
Kalin Lucas,33785-16658,PG,Kalin,Lucas,7.0999999046325675,1,3500,DET@POR,DET,POR,,,,,,7.1,-1000.0,16.6,13.4,0.5808015906524132,6.85
Julian Washburn,33785-20764,SF,Julian,Washburn,6.612500190734862,8,3500,MIN@MEM,MEM,MIN,,,,,,9.26,20.6,1.6,9.8,0.9532243274403575,12.2
Meyers Leonard,33785-15669,PF,Meyers,Leonard,12.55818204012784,55,3500,DET@POR,POR,DET,,,,,,3.9,8.6,16.2,15.1,0.027843275282867626,5.0
Daryl Macon,33785-85309,PG,Daryl,Macon,1.5,4,3500,DAL@GS,DAL,GSW,,,,,,2.0,-1000.0,19.6,16.0,0.4436876585033643,2.0
Jordan Bell,33785-40769,C,Jordan,Bell,10.638983257746293,59,3500,DAL@GS,GSW,DAL,,,,,,14.220000000000002,15.2,13.9,12.4,0.43393614875004705,14.85
Chasson Randle,33785-16197,SG,Chasson,Randle,10.2875,40,3500,MIA@WAS,WAS,MIA,,,,,,7.9,12.0,10.3,17.2,0.1745392665347342,7.75
Troy Daniels,33785-20805,SG,Troy,Daniels,9.166666666666666,42,3500,PHO@SAC,PHO,SAC,,,,,,13.319999999999999,11.8,9.6,18.8,0.9537718798989038,20.7
Jaylen Adams,33785-84808,SG,Jaylen,Adams,7.544000244140625,25,3500,PHI@ATL,ATL,PHI,,,,,,12.139999999999999,15.0,8.2,11.4,0.2728678141905293,16.2
Langston Galloway,33785-17230,SG,Langston,Galloway,13.878260515738225,69,3500,DET@POR,DET,POR,,,,,,13.34,20.4,9.9,16.0,0.6108844932212483,16.5
Jared Terrell,33785-84830,SG,Jared,Terrell,4.029999923706055,10,3500,MIN@MEM,MIN,MEM,,,,,,4.74,8.0,1.9,21.2,0.2962412394749948,7.5
Ryan Broekhoff,33785-84833,PF,Ryan,Broekhoff,5.3090908166133985,33,3500,DAL@GS,DAL,GSW,,,,,,4.44,10.0,11.3,13.6,0.9595981954440151,5.6
Jordan McRae,33785-16230,SG,Jordan,McRae,8.11999969482422,20,3500,MIA@WAS,WAS,MIA,,,,,,6.859999999999999,11.2,13.6,19.9,0.1745392665347342,10.0
Udonis Haslem,33785-9589,PF,Udonis,Haslem,2.299999952316284,8,3500,MIA@WAS,MIA,WAS,,,,,,2.08,4.0,-3.5,22.8,0.8156903555621056,2.4
