Nickname,Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,5GameAvg,MPG,PER,USG,DP,UQR
Andre Iguodala,33785-9664,SG,Andre,Iguodala,19.619355232484878,62,4300,DAL@GS,GSW,DAL,,,,,,18.18,21.2,13.5,10.6,0.9654265675929291,22.9
Alex Len,33785-15814,C,Alex,Len,20.795652527740035,69,4300,PHI@ATL,ATL,PHI,,,,,,25.74,23.6,16.0,22.1,0.08879076339310422,45.25
Dorian Finney-Smith,33785-16376,SF,Dorian,Finney-Smith,18.087500678168407,72,4300,DAL@GS,DAL,GSW,,,,,,15.02,20.6,11.5,13.6,0.8804033113420193,15.2
Thon Maker,33785-70820,C,Thon,Maker,12.192453060510026,53,4200,DET@POR,DET,POR,,,,,,14.219999999999999,16.6,12.4,16.6,0.05714310375826896,16.3
Kevin Huerter,33785-84704,SG,Kevin,Huerter,19.571642519822763,67,4200,PHI@ATL,ATL,PHI,,,,,,19.94,26.8,9.8,15.2,0.2728678141905293,20.4
Luke Kennard,33785-66046,SG,Luke,Kennard,16.50943396226415,53,4200,DET@POR,DET,POR,,,,,,25.619999999999997,28.8,10.9,17.9,0.6108844932212483,28.35
Dario Saric,33785-55056,PF,Dario,Saric,20.02535280039613,71,4100,MIN@MEM,MIN,MEM,,,,,,19.140000000000004,23.8,12.7,17.3,0.06058197967849641,20.5
Dion Waiters,33785-16220,SG,Dion,Waiters,19.102941176470583,34,4100,MIA@WAS,MIA,WAS,,,,,,19.56,25.0,11.3,21.3,0.7411806524335207,24.35
Vince Carter,33785-9654,SF,Vince,Carter,14.211765064912687,68,4100,PHI@ATL,ATL,PHI,,,,,,22.16,27.0,11.9,16.6,0.6525809624452856,27.65
DeAndre' Bembry,33785-49336,SF,DeAndre',Bembry,20.27397260273973,73,4000,PHI@ATL,ATL,PHI,,,,,,25.919999999999998,27.0,9.5,16.6,0.6525809624452856,24.9
Seth Curry,33785-15583,PG,Seth,Curry,11.064615572415867,65,4000,DET@POR,POR,DET,,,,,,9.239999999999998,15.6,9.6,14.9,0.10850999209079994,12.2
Bruno Caboclo,33785-55058,SF,Bruno,Caboclo,14.87916692097982,24,4000,MIN@MEM,MEM,MIN,,,,,,-1000.0,2.2,10.5,15.7,0.9532243274403575,
Justin Jackson,33785-58134,SF,Justin,Jackson,12.559155101507482,71,4000,DAL@GS,DAL,GSW,,,,,,10.2,15.4,10.0,13.3,0.8804033113420193,9.65
Dragan Bender,33785-70819,PF,Dragan,Bender,9.824324324324325,37,3900,PHO@SAC,PHO,SAC,,,,,,9.74,15.8,7.8,15.5,0.12206972962474516,12.1
Justin Holiday,33785-16604,SG,Justin,Holiday,21.641665988498264,72,3900,MIN@MEM,MEM,MIN,,,,,,13.280000000000001,22.4,9.6,15.7,0.8842912792861917,19.1
Kent Bazemore,33785-19781,SG,Kent,Bazemore,24.71016990532309,59,3900,PHI@ATL,ATL,PHI,,,,,,21.080000000000002,25.0,14.1,22.4,0.2728678141905293,25.7
Boban Marjanovic,33785-63826,C,Boban,Marjanovic,14.800000508626304,48,3900,PHI@ATL,PHI,ATL,,,,,,23.939999999999998,17.8,24.0,23.7,0.9216942282814395,33.9
Kyle Korver,33785-9870,SG,Kyle,Korver,13.86060587565104,66,3800,UTA@CHI,UTA,CHI,,,,,,24.1,28.0,11.9,18.4,0.6156049283285292,26.05
Jonah Bolden,33785-58574,PF,Jonah,Bolden,12.467567237647804,37,3800,PHI@ATL,PHI,ATL,,,,,,23.02,19.4,11.0,13.6,0.9270499974625365,23.3
James Ennis,33785-17491,SF,James,Ennis,14.164815266927086,54,3700,PHI@ATL,PHI,ATL,,,,,,9.08,12.2,10.7,11.9,0.9909173606671299,13.4
Ryan Arcidiacono,33785-23740,PG,Ryan,Arcidiacono,16.17361111111111,72,3700,UTA@CHI,CHI,UTA,,,,,,17.2,24.8,10.4,10.2,0.07936100044154663,17.45
Jonas Jerebko,33785-9962,PF,Jonas,Jerebko,14.517459929935514,63,3700,DAL@GS,GSW,DAL,,,,,,8.34,11.4,13.6,14.8,0.6800781172046994,11.8
Derrick Jones,33785-66968,SF,Derrick,Jones,16.896153376652645,52,3700,MIA@WAS,MIA,WAS,,,,,,16.22,16.6,16.2,16.3,0.8996298580147305,23.75
Royce O'Neale,33785-18338,SF,Royce,O'Neale,13.72777811686198,72,3700,UTA@CHI,UTA,CHI,,,,,,13.940000000000001,25.2,10.0,11.6,0.32255484096434267,15.7
Ivan Rabb,33785-67025,PF,Ivan,Rabb,12.271795028295275,39,3700,MIN@MEM,MEM,MIN,,,,,,15.459999999999999,18.6,19.5,18.6,0.8962848670194341,17.6
Wayne Selden,33785-49115,SG,Wayne,Selden,11.940908720999053,66,3700,UTA@CHI,CHI,UTA,,,,,,15.959999999999999,23.0,8.3,17.8,0.018682861759744582,18.05
Tyler Dorsey,33785-67556,SG,Tyler,Dorsey,8.226315950092516,38,3700,MIN@MEM,MEM,MIN,,,,,,5.220000000000001,6.8,9.2,18.4,0.8842912792861917,7.4
Alfonzo McKinnie,33785-18435,SF,Alfonzo,McKinnie,10.519672331262807,61,3600,DAL@GS,GSW,DAL,,,,,,8.1,11.2,11.0,14.4,0.8701135033955351,13.85
Salah Mejri,33785-64017,C,Salah,Mejri,8.675862279431572,29,3600,DAL@GS,DAL,GSW,,,,,,9.559999999999999,11.2,14.1,12.8,0.9440138779340027,11.5
C.J. Williams,33785-15975,SG,C.J.,Williams,4.458333333333333,12,3600,MIN@MEM,MIN,MEM,,,,,,3.6199999999999997,4.4,2.1,13.1,0.2962412394749948,4.45
Amir Johnson,33785-9862,PF,Amir,Johnson,9.961363358931107,44,3600,PHI@ATL,PHI,ATL,,,,,,14.0,13.4,13.4,17.8,0.9270499974625365,22.1
Kevon Looney,33785-58576,C,Kevon,Looney,18.31739165817482,69,3600,DAL@GS,GSW,DAL,,,,,,9.1,10.0,16.7,12.2,0.43393614875004705,12.05
Keita Bates-Diop,33785-84688,SF,Keita,Bates-Diop,10.53499984741211,20,3600,MIN@MEM,MIN,MEM,,,,,,8.16,13.4,9.5,13.9,0.08921173087682555,7.4
Bruce Brown,33785-84694,SG,Bruce,Brown,11.706349206349206,63,3600,DET@POR,DET,POR,,,,,,11.66,20.6,6.5,12.7,0.6108844932212483,14.2
De'Anthony Melton,33785-84703,PG,De'Anthony,Melton,16.921428862072172,42,3600,PHO@SAC,PHO,SAC,,,,,,11.580000000000002,11.4,9.7,16.2,0.9932407027012011,13.15
Dirk Nowitzki,33785-9500,PF,Dirk,Nowitzki,10.802381243024554,42,3600,DAL@GS,DAL,GSW,,,,,,15.02,18.2,7.7,20.6,0.9595981954440151,20.75
Mike Scott,33785-16368,PF,Mike,Scott,11.757142857142858,70,3600,PHI@ATL,PHI,ATL,,,,,,19.42,25.6,9.2,14.7,0.9270499974625365,19.85
Cristiano Felicio,33785-63478,C,Cristiano,Felicio,8.48431396484375,51,3600,UTA@CHI,CHI,UTA,,,,,,5.56,8.0,12.8,13.9,0.9735485739271846,5.4
Kosta Koufos,33785-9731,C,Kosta,Koufos,11.896969881924715,33,3500,PHO@SAC,SAC,PHO,,,,,,5.359999999999999,4.6,12.4,14.9,0.9432765211371079,8.4
Brandon Sampson,33785-101412,SG,Brandon,Sampson,3.659999847412109,5,3500,UTA@CHI,CHI,UTA,,,,,,8.2,-1000.0,16.0,11.0,0.018682861759744582,8.2
Ryan Anderson,33785-9772,PF,Ryan,Anderson,6.822727550159801,22,3500,MIA@WAS,MIA,WAS,,,,,,2.2199999999999998,3.6,5.1,12.0,0.8156903555621056,3.0
Ekpe Udoh,33785-12339,C,Ekpe,Udoh,5.402439024390245,41,3500,UTA@CHI,UTA,CHI,,,,,,5.02,3.2,17.5,12.1,0.9033642668470633,5.65
Wesley Johnson,33785-12348,SF,Wesley,Johnson,8.235135465054901,37,3500,MIA@WAS,WAS,MIA,,,,,,3.7400000000000007,11.0,6.5,11.7,0.10268166989249719,5.4
Skal Labissiere,33785-66109,PF,Skal,Labissiere,4.666666666666667,18,3500,DET@POR,POR,DET,,,,,,3.2,3.2,6.6,15.1,0.027843275282867626,2.0
