"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"40","39","39","2019-01-06","20-109","ATL","","MIA","W (+24)","1","30:22","6","14",".429","3","3","1.000","4","6",".667","0","2","2","2","1","0","4","1","19","9.4","+21",NA,22.9
"41","40","40","2019-01-08","20-111","ATL","@","TOR","L (-3)","1","30:09","8","20",".400","1","5",".200","2","3",".667","2","3","5","4","2","0","3","1","19","11.5","+1",NA,33
"43","41","41","2019-01-09","20-112","ATL","@","BRK","L (-16)","1","28:59","6","15",".400","2","9",".222","3","3","1.000","0","2","2","7","2","0","6","2","17","9.6","-15",NA,28.15
"44","42","42","2019-01-11","20-114","ATL","@","PHI","W (+2)","1","32:22","5","12",".417","3","8",".375","5","5","1.000","1","3","4","5","2","0","4","0","18","14.7","-1",NA,31.05
"45","43","43","2019-01-13","20-116","ATL","","MIL","L (-19)","1","33:36","7","16",".438","1","5",".200","11","13",".846","3","7","10","4","0","0","4","2","26","19.0","-7",NA,39
"46","44","44","2019-01-15","20-118","ATL","","OKC","W (+16)","1","32:38","8","17",".471","4","9",".444","4","5",".800","0","6","6","11","0","0","7","2","24","16.6","+16",NA,37.95
"47","45","45","2019-01-19","20-122","ATL","","BOS","L (-8)","1","33:57","6","17",".353","2","9",".222","2","2","1.000","0","1","1","7","1","0","6","3","16","5.5","-12",NA,22.95
"48","46","46","2019-01-21","20-124","ATL","","ORL","L (-19)","1","29:14","8","13",".615","0","3",".000","5","6",".833","0","3","3","6","0","0","4","2","21","15.0","-17",NA,28.1
"49","47","47","2019-01-23","20-126","ATL","@","CHI","W (+20)","1","32:45","1","12",".083","1","7",".143","2","2","1.000","1","6","7","12","1","0","3","1","5","5.5","+24",NA,28.4
"50","48","48","2019-01-26","20-129","ATL","@","POR","L (-9)","1","31:58","11","15",".733","3","6",".500","5","6",".833","0","2","2","8","1","1","4","4","30","25.8","-5",NA,44.4
"51","49","49","2019-01-28","20-131","ATL","@","LAC","W (+5)","1","31:11","10","18",".556","2","7",".286","4","4","1.000","1","3","4","8","0","0","1","1","26","23.2","+8",NA,39.8
"52","50","50","2019-01-30","20-133","ATL","@","SAC","L (-22)","1","28:50","7","12",".583","4","9",".444","5","6",".833","1","0","1","8","1","0","5","2","23","18.5","-5",NA,32.2
"53","51","51","2019-02-01","20-135","ATL","@","UTA","L (-16)","1","37:11","9","20",".450","5","10",".500","5","7",".714","1","2","3","9","1","0","2","4","28","21.8","-12",NA,43.85
"54","52","52","2019-02-02","20-136","ATL","@","PHO","W (+6)","1","34:20","9","21",".429","4","10",".400","5","7",".714","1","6","7","8","0","0","4","0","27","19.2","-3",NA,41.4
"55","53","53","2019-02-04","20-138","ATL","@","WAS","W (+8)","1","26:53","2","13",".154","1","6",".167","5","6",".833","0","4","4","10","0","0","1","1","10","8.1","+3",NA,26.3
"56","54","54","2019-02-07","20-141","ATL","","TOR","L (-18)","1","28:40","7","14",".500","1","2",".500","4","7",".571","1","4","5","5","1","0","4","2","19","12.4","-23",NA,30.25
"57","55","55","2019-02-09","20-143","ATL","","CHO","L (-9)","1","28:12","8","15",".533","4","6",".667","0","0","","0","1","1","11","2","0","4","1","20","18.3","-10",NA,36.95
