"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"61","59","34","2019-02-24","24-163","DEN","","LAC","W (+27)","0","21:49","4","8",".500","2","4",".500","4","6",".667","0","2","2","2","1","0","1","3","14","10.0","+8",NA,20.9
"62","60","35","2019-02-26","24-165","DEN","","OKC","W (+9)","0","22:38","0","2",".000","0","1",".000","5","6",".833","0","2","2","0","2","0","2","3","5","2.6","+4",NA,11.4
"64","61","36","2019-02-28","24-167","DEN","","UTA","L (-7)","0","22:45","3","10",".300","0","3",".000","2","2","1.000","2","2","4","4","0","0","1","2","8","5.2","+2",NA,16.8
"65","62","37","2019-03-02","24-169","DEN","","NOP","L (-8)","1","25:52","3","9",".333","1","3",".333","1","1","1.000","0","0","0","2","1","1","3","1","8","2.6","+3",NA,13.5
"66","63","38","2019-03-04","24-171","DEN","@","SAS","L (-1)","1","26:37","3","9",".333","2","4",".500","0","0","","0","2","2","1","0","0","0","0","8","4.2","+9",NA,11.65
"67","64","39","2019-03-06","24-173","DEN","@","LAL","W (+16)","1","29:46","8","11",".727","2","4",".500","1","1","1.000","4","2","6","4","1","0","0","2","19","20.9","+26",NA,34.2
"68","65","40","2019-03-08","24-175","DEN","@","GSW","L (-17)","1","22:21","0","2",".000","0","0","","6","8",".750","1","1","2","1","0","0","2","3","6","2.3","-10",NA,7.65
"69","66","41","2019-03-12","24-179","DEN","","MIN","W (+26)","1","27:53","5","8",".625","2","3",".667","0","0","","0","2","2","2","0","1","1","0","12","10.1","+18",NA,18.9
"70","67","42","2019-03-14","24-181","DEN","","DAL","W (+1)","1","26:57","3","7",".429","1","1","1.000","2","2","1.000","0","1","1","2","1","0","3","1","9","4.6","-11",NA,12.7
"71","68","43","2019-03-16","24-183","DEN","","IND","W (+2)","1","28:44","4","10",".400","1","4",".250","1","2",".500","2","2","4","2","1","1","0","1","10","8.9","+9",NA,23.3
"72","69","44","2019-03-18","24-185","DEN","@","BOS","W (+9)","1","29:26","5","13",".385","4","7",".571","2","2","1.000","1","3","4","2","1","0","1","3","16","10.7","+5",NA,25.3
"73","70","45","2019-03-21","24-188","DEN","@","WAS","W (+5)","1","29:14","6","15",".400","1","4",".250","2","4",".500","4","1","5","1","2","0","0","3","15","10.7","-12",NA,28.25
"74","71","46","2019-03-22","24-189","DEN","@","NYK","W (+18)","1","25:47","5","8",".625","4","5",".800","0","0","","1","4","5","0","2","0","2","0","14","12.3","+14",NA,24
"75","72","47","2019-03-24","24-191","DEN","@","IND","L (-36)","1","26:10","5","6",".833","1","1","1.000","0","0","","0","1","1","1","0","1","0","1","11","10.1","-12",NA,16.45
"76","73","48","2019-03-26","24-193","DEN","","DET","W (+3)","1","35:36","1","5",".200","1","2",".500","0","0","","0","3","3","2","0","0","3","3","3","-2.0","-5",NA,6.1
"77","74","49","2019-03-28","24-195","DEN","@","HOU","L (-27)","1","28:34","4","11",".364","3","5",".600","0","0","","0","2","2","3","0","0","2","3","11","4.4","-4",NA,15.15
"78","75","50","2019-03-29","24-196","DEN","@","OKC","W (+10)","1","30:33","3","7",".429","2","4",".500","0","0","","0","1","1","4","2","0","0","0","8","9.4","0",NA,20.2
"79","76","51","2019-03-31","24-198","DEN","","WAS","L (-5)","1","34:02","4","13",".308","1","7",".143","0","0","","0","2","2","0","2","0","3","2","9","0.3","-2",NA,14.4
"80","77","52","2019-04-02","24-200","DEN","@","GSW","L (-14)","1","25:23","1","9",".111","0","2",".000","4","4","1.000","2","1","3","0","1","0","0","2","6","2.0","-10",NA,12.6
"81","78","53","2019-04-03","24-201","DEN","","SAS","W (+28)","1","29:53","5","10",".500","1","3",".333","0","0","","0","4","4","2","0","0","1","1","11","7.2","+18",NA,17.3
"82","79","54","2019-04-05","24-203","DEN","","POR","W (+9)","1","28:11","1","9",".111","0","5",".000","4","4","1.000","0","1","1","0","2","0","1","1","6","1.0","-7",NA,12.2
"83","80","55","2019-04-07","24-205","DEN","@","POR","L (-7)","1","23:49","8","12",".667","1","2",".500","1","3",".333","0","2","2","1","2","0","0","1","18","14.9","0",NA,27.65
"85","81","56","2019-04-09","24-207","DEN","@","UTA","L (-10)","1","21:42","7","15",".467","1","3",".333","0","0","","0","0","0","2","1","0","0","5","15","7.7","-12",NA,20.5
"86","82","57","2019-04-10","24-208","DEN","","MIN","W (+4)","1","38:53","5","11",".455","0","3",".000","4","5",".800","2","1","3","1","1","1","3","2","14","8.2","+6",NA,21.85
