"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"74","71","1","2019-03-20","21-120","DAL","@","POR","L (-8)","0","5:53","0","2",".000","0","0","","1","2",".500","0","1","1","0","2","0","1","0","1","0.5","+8",NA,7.2
"76","73","2","2019-03-23","21-123","DAL","@","GSW","W (+35)","0","4:41","0","1",".000","0","0","","1","2",".500","0","0","0","0","0","0","0","0","1","-0.1","-5",NA,1
