"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"3","3","1","2018-12-11","22-138","PHO","@","SAS","L (-25)","0","26:11","2","7",".286","0","0","","0","0","","0","3","3","3","2","0","3","2","4","1.1","-18",NA,14.35
"4","4","2","2018-12-13","22-140","PHO","","DAL","W (+10)","0","3:13","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","3","0","-1.6","-3",NA,1.2
"5","5","3","2018-12-15","22-142","PHO","","MIN","W (+8)","0","13:51","0","2",".000","0","1",".000","0","0","","1","5","6","4","0","0","1","1","0","2.2","-1",NA,11.2
"6","6","4","2018-12-17","22-144","PHO","@","NYK","W (+18)","0","2:39","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","-3",NA,1.25
"30","29","5","2019-02-02","22-191","PHO","","ATL","L (-6)","0","4:22","0","0","","0","0","","0","0","","0","0","0","1","1","0","0","1","0","1.3","0",NA,4.25
"32","31","6","2019-02-06","22-195","PHO","@","UTA","L (-28)","0","11:14","1","3",".333","0","0","","0","0","","0","2","2","1","0","0","1","1","2","0.2","-20",NA,4.65
"35","34","7","2019-02-13","22-202","PHO","@","LAC","L (-27)","0","2:17","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-6",NA,-1
"59","57","8","2019-04-10","22-258","OKC","@","MIL","W (+11)","0","0:34","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","0",NA,0
