"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"16","16","13","2018-11-21","37-249","CLE","","LAL","L (-4)","0","17:35","3","6",".500","3","6",".500","0","0","","0","3","3","0","0","0","0","0","9","6.9","+4",NA,12.6
"17","17","14","2018-11-23","37-251","CLE","@","PHI","W (+9)","0","6:09","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","1","1","0","-2.8","-9",NA,-1
"18","18","15","2018-11-24","37-252","CLE","","HOU","W (+9)","0","18:58","3","5",".600","3","3","1.000","3","3","1.000","0","5","5","0","1","0","2","1","12","9.8","-7",NA,19
"19","19","16","2018-11-26","37-254","CLE","","MIN","L (-7)","0","21:44","7","12",".583","6","9",".667","2","2","1.000","0","2","2","2","0","0","0","2","22","17.6","-7",NA,26.9
"22","21","17","2018-11-30","37-258","UTA","@","CHO","W (+8)","0","21:34","5","7",".714","4","6",".667","0","0","","0","2","2","1","0","1","1","0","14","12.1","+3",NA,19.65
"23","22","18","2018-12-02","37-260","UTA","@","MIA","L (-2)","0","17:23","1","6",".167","1","5",".200","0","0","","1","1","2","0","0","0","1","0","3","-0.8","-18",NA,4.4
"24","23","19","2018-12-04","37-262","UTA","","SAS","W (+34)","0","15:07","5","8",".625","3","4",".750","2","3",".667","0","1","1","1","1","0","3","3","15","8.8","+14",NA,17.45
"25","24","20","2018-12-06","37-264","UTA","","HOU","W (+27)","0","14:03","0","2",".000","0","2",".000","0","0","","0","3","3","1","0","1","1","0","0","-0.1","+13",NA,6.85
"26","25","21","2018-12-09","37-267","UTA","@","SAS","L (-13)","0","15:01","2","6",".333","1","3",".333","0","0","","0","0","0","0","0","0","0","1","5","1.2","-10",NA,5
"27","26","22","2018-12-10","37-268","UTA","@","OKC","L (-9)","0","17:53","3","10",".300","1","7",".143","1","1","1.000","1","0","1","1","0","0","0","1","8","3.2","-1",NA,10.45
"28","27","23","2018-12-12","37-270","UTA","","MIA","W (+27)","0","16:22","6","9",".667","4","5",".800","0","0","","0","2","2","1","0","0","0","3","16","12.2","+16",NA,19.65
"29","28","24","2018-12-15","37-273","UTA","@","ORL","L (-7)","0","17:19","1","8",".125","1","7",".143","0","0","","0","3","3","0","0","0","0","3","3","-2.5","-10",NA,6.6
"30","29","25","2018-12-17","37-275","UTA","@","HOU","L (-5)","0","13:12","1","4",".250","1","4",".250","2","3",".667","0","1","1","0","0","1","0","2","5","2.4","-10",NA,9.2
"31","30","26","2018-12-19","37-277","UTA","","GSW","W (+5)","0","20:23","4","8",".500","4","7",".571","0","0","","0","2","2","4","1","0","0","0","12","12.4","0",NA,22.4
"32","31","27","2018-12-21","37-279","UTA","@","POR","W (+30)","0","25:50","7","12",".583","3","7",".429","1","1","1.000","0","4","4","2","1","0","0","1","18","15.6","+26",NA,28.3
"33","32","28","2018-12-22","37-280","UTA","","OKC","L (-1)","0","18:52","2","5",".400","0","3",".000","0","0","","0","0","0","1","2","0","0","0","4","4.0","-12",NA,11.25
"34","33","29","2018-12-25","37-283","UTA","","POR","W (+21)","0","21:01","4","6",".667","2","4",".500","0","0","","0","3","3","0","2","1","2","3","10","7.8","+2",NA,20.6
"35","34","30","2018-12-27","37-285","UTA","","PHI","L (-17)","0","20:29","3","10",".300","2","7",".286","3","4",".750","0","0","0","0","0","0","0","2","11","4.0","-1",NA,11
"36","35","31","2018-12-29","37-287","UTA","","NYK","W (+32)","0","21:35","5","10",".500","5","8",".625","0","0","","0","0","0","1","1","0","1","4","15","9.1","+34",NA,18.25
"37","36","32","2019-01-01","37-290","UTA","@","TOR","L (-6)","0","18:02","1","4",".250","1","4",".250","0","0","","0","1","1","0","0","0","0","1","3","0.5","+2",NA,4.2
"38","37","33","2019-01-04","37-293","UTA","@","CLE","W (+26)","0","21:44","2","6",".333","1","4",".250","5","5","1.000","0","2","2","1","0","0","1","3","10","5.7","+14",NA,12.65
"39","38","34","2019-01-05","37-294","UTA","@","DET","W (+5)","0","14:22","3","4",".750","2","3",".667","0","0","","0","2","2","0","0","1","1","2","8","5.9","-1",NA,12.4
"40","39","35","2019-01-07","37-296","UTA","@","MIL","L (-12)","0","25:01","4","9",".444","1","5",".200","0","0","","0","2","2","0","0","0","0","1","9","4.5","-15",NA,11.4
"41","40","36","2019-01-09","37-298","UTA","","ORL","W (+13)","0","23:42","4","12",".333","3","7",".429","0","0","","1","6","7","2","0","0","1","1","11","6.7","+18",NA,20.9
"43","41","37","2019-01-11","37-300","UTA","","LAL","W (+18)","0","20:55","2","7",".286","2","6",".333","3","3","1.000","1","1","2","2","0","1","2","2","9","5.2","-6",NA,14.9
"44","42","38","2019-01-12","37-301","UTA","","CHI","W (+8)","0","25:49","6","11",".545","4","8",".500","0","0","","1","4","5","0","0","1","0","2","16","12.5","+2",NA,25
"45","43","39","2019-01-14","37-303","UTA","","DET","W (+6)","0","32:07","5","14",".357","5","11",".455","4","4","1.000","0","2","2","1","0","0","2","0","19","10.5","+4",NA,20.65
"46","44","40","2019-01-16","37-305","UTA","@","LAC","W (+20)","0","24:07","5","8",".625","4","5",".800","5","6",".833","0","2","2","2","0","0","2","5","19","13.0","+8",NA,21.9
"47","45","41","2019-01-18","37-307","UTA","","CLE","W (+16)","0","21:59","3","5",".600","1","3",".333","0","0","","0","2","2","1","0","0","0","0","7","6.0","+25",NA,10.65
"48","46","42","2019-01-21","37-310","UTA","","POR","L (-5)","0","22:57","3","8",".375","0","5",".000","0","0","","0","4","4","0","0","0","1","4","6","0.2","-8",NA,9.8
"49","47","43","2019-01-23","37-312","UTA","","DEN","W (+6)","0","18:15","3","7",".429","3","6",".500","0","0","","1","1","2","1","1","0","1","0","9","7.0","-1",NA,14.65
