"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"49","47","30","2019-01-19","20-236","PHO","@","CHO","L (-20)","1","13:14","1","1","1.000","1","1","1.000","0","0","","0","1","1","2","0","1","1","1","3","3.7","-25",NA,8.7
"50","48","31","2019-01-20","20-237","PHO","@","MIN","L (-2)","1","13:03","2","4",".500","0","2",".000","0","0","","1","1","2","3","1","0","1","3","4","3.9","+4",NA,12.15
"51","49","32","2019-01-22","20-239","PHO","","MIN","L (-27)","1","22:16","2","6",".333","0","1",".000","0","0","","0","1","1","3","2","0","1","0","4","4.0","-15",NA,13.95
"52","50","33","2019-01-24","20-241","PHO","","POR","L (-14)","1","11:43","1","2",".500","0","0","","0","0","","1","1","2","0","0","0","2","3","2","-1.2","-6",NA,2.4
"64","61","34","2019-02-23","20-271","PHO","@","ATL","L (-8)","0","13:38","2","3",".667","0","1",".000","0","0","","0","2","2","3","1","0","0","2","4","5.6","+11",NA,13.15
"65","62","35","2019-02-25","20-273","PHO","@","MIA","W (+3)","0","5:21","0","1",".000","0","0","","0","0","","1","0","1","1","0","0","0","0","0","0.7","-1",NA,2.45
"66","63","36","2019-03-01","20-277","PHO","","NOP","L (-14)","0","17:04","2","7",".286","2","4",".500","0","0","","0","2","2","2","1","0","1","1","6","3.5","-5",NA,12.9
"67","64","37","2019-03-02","20-278","PHO","","LAL","W (+9)","0","15:36","3","5",".600","0","1",".000","0","0","","2","4","6","4","1","1","0","1","6","10.4","+9",NA,24.2
"69","66","38","2019-03-06","20-282","PHO","","NYK","W (+11)","0","7:24","0","0","","0","0","","0","0","","0","1","1","1","0","0","0","0","0","1.0","-8",NA,2.45
"70","67","39","2019-03-09","20-285","PHO","@","POR","L (-7)","0","8:05","0","0","","0","0","","0","0","","0","0","0","3","0","0","0","1","0","1.7","+3",NA,3.75
"74","71","40","2019-03-16","20-292","PHO","@","NOP","W (+2)","1","28:51","3","7",".429","0","1",".000","0","0","","0","8","8","5","3","0","1","4","6","8.6","-7",NA,29.85
"75","72","41","2019-03-18","20-294","PHO","","CHI","L (-15)","1","21:45","0","2",".000","0","1",".000","0","0","","0","2","2","4","1","0","1","2","0","1.2","-10",NA,9.4
"76","73","42","2019-03-21","20-297","PHO","","DET","L (-20)","0","21:26","3","4",".750","1","2",".500","0","0","","2","1","3","2","0","0","2","0","7","6.5","-4",NA,11.1
"77","74","43","2019-03-23","20-299","PHO","@","SAC","L (-9)","1","21:34","1","2",".500","1","2",".500","0","0","","0","3","3","3","1","2","2","4","3","3.8","+5",NA,17.35
"78","75","44","2019-03-25","20-301","PHO","@","UTA","L (-33)","1","22:15","0","1",".000","0","1",".000","0","2",".000","0","3","3","1","1","0","2","1","0","-1.3","-12",NA,5.85
"79","76","45","2019-03-27","20-303","PHO","","WAS","L (-3)","1","21:37","2","4",".500","0","1",".000","0","0","","0","2","2","4","2","0","2","2","4","4.6","-4",NA,15.4
"80","77","46","2019-03-30","20-306","PHO","","MEM","L (-5)","1","17:35","1","2",".500","0","0","","0","0","","0","1","1","2","2","2","1","2","2","4.3","+6",NA,16.7
"82","79","47","2019-04-03","20-310","PHO","","UTA","L (-21)","0","18:18","2","6",".333","0","1",".000","1","2",".500","0","2","2","5","1","1","1","3","5","4.8","-10",NA,18.65
"83","80","48","2019-04-05","20-312","PHO","","NOP","W (+7)","0","27:08","3","7",".429","0","1",".000","2","2","1.000","3","2","5","2","1","0","1","1","8","8.0","+9",NA,18.5
"85","81","49","2019-04-07","20-314","PHO","@","HOU","L (-36)","0","22:04","5","8",".625","1","2",".500","1","1","1.000","1","3","4","6","0","0","4","1","12","9.8","-6",NA,20.3
"86","82","50","2019-04-09","20-316","PHO","@","DAL","L (-11)","0","19:18","2","4",".500","0","0","","2","3",".667","0","3","3","1","3","0","2","3","6","5.0","-2",NA,17.85
