"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"47","45","35","2019-01-15","31-259","PHI","","MIN","W (+42)","0","9:46","3","3","1.000","0","0","","2","2","1.000","0","3","3","0","0","0","0","0","8","8.0","+8",NA,11.6
"50","48","36","2019-01-21","31-265","PHI","","HOU","W (+28)","0","9:45","2","3",".667","1","1","1.000","1","2",".500","2","2","4","2","0","0","1","3","6","5.5","-2",NA,12.3
"52","50","37","2019-01-26","31-270","PHI","@","DEN","L (-16)","0","19:07","2","5",".400","0","1",".000","1","1","1.000","1","3","4","4","1","1","2","5","5","4.4","-4",NA,18.8
"62","60","38","2019-02-23","31-298","PHI","","POR","L (-15)","0","3:55","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","2","2","0.2","-10",NA,2
"65","62","39","2019-02-28","31-303","PHI","@","OKC","W (+4)","0","13:51","2","4",".500","0","0","","0","0","","0","3","3","0","1","0","2","5","4","-0.1","-7",NA,8.6
"67","64","40","2019-03-05","31-308","PHI","","ORL","W (+8)","1","19:51","5","9",".556","1","3",".333","2","2","1.000","2","3","5","2","1","2","1","2","13","13.0","+12",NA,29.5
"68","65","41","2019-03-06","31-309","PHI","@","CHI","L (-1)","1","20:01","3","4",".750","1","2",".500","2","4",".500","2","6","8","2","0","1","2","1","9","9.5","+12",NA,22.1
"69","66","42","2019-03-08","31-311","PHI","@","HOU","L (-16)","1","12:38","1","6",".167","0","2",".000","0","0","","3","1","4","0","1","0","3","3","2","-2.6","0",NA,6.8
"70","67","43","2019-03-10","31-313","PHI","","IND","W (+17)","0","17:24","0","4",".000","0","1",".000","0","0","","4","3","7","2","1","0","3","5","0","-1.7","+3",NA,10.9
"74","71","44","2019-03-19","31-322","PHI","@","CHO","W (+4)","1","17:25","2","4",".500","0","1",".000","0","0","","1","1","2","2","0","0","0","1","4","4.0","-1",NA,8.9
"77","74","45","2019-03-25","31-328","PHI","@","ORL","L (-21)","0","5:34","0","0","","0","0","","0","0","","0","0","0","2","0","0","1","0","0","0.4","+3",NA,1.5
"78","75","46","2019-03-28","31-331","PHI","","BRK","W (+13)","0","1:43","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-1.4","+2",NA,0
"79","76","47","2019-03-30","31-333","PHI","@","MIN","W (+9)","0","9:12","1","1","1.000","0","0","","0","0","","1","2","3","1","0","0","0","1","2","3.3","-10",NA,6.85
"80","77","48","2019-04-01","31-335","PHI","@","DAL","L (-20)","0","4:46","1","2",".500","0","1",".000","0","0","","0","2","2","0","0","0","0","2","2","0.8","+3",NA,4.4
"81","78","49","2019-04-03","31-337","PHI","@","ATL","L (-8)","0","6:16","2","2","1.000","0","0","","0","0","","2","0","2","1","0","0","0","0","4","5.5","-7",NA,7.65
"85","81","50","2019-04-09","31-343","PHI","@","MIA","L (-23)","0","18:08","2","6",".333","0","1",".000","1","2",".500","1","6","7","2","0","0","0","2","5","4.3","+6",NA,15.9
"86","82","51","2019-04-10","31-344","PHI","","CHI","W (+16)","0","24:24","4","8",".500","1","2",".500","3","3","1.000","5","4","9","1","1","2","0","3","12","14.6","-6",NA,33.05
