"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"64","61","38","2019-02-24","21-343","LAC","@","DEN","L (-27)","1","19:12","4","11",".364","0","0","","0","0","","4","3","7","2","0","1","1","5","8","4.7","-16",NA,20.9
"65","62","39","2019-02-25","21-344","LAC","","DAL","W (+9)","1","19:06","3","5",".600","0","0","","1","1","1.000","1","7","8","3","1","0","1","1","7","9.2","-5",NA,22.35
"66","63","40","2019-02-27","21-346","LAC","@","UTA","L (-6)","1","17:48","3","9",".333","0","0","","1","2",".500","3","5","8","3","1","1","0","2","7","8.1","+10",NA,26.35
"67","64","41","2019-03-01","21-348","LAC","@","SAC","W (+7)","1","18:04","4","9",".444","0","0","","2","4",".500","4","6","10","2","0","2","0","0","10","11.9","+15",NA,30.5
"68","65","42","2019-03-03","21-350","LAC","","NYK","W (+21)","1","23:22","3","9",".333","0","0","","1","2",".500","2","9","11","5","0","1","3","3","7","5.6","+16",NA,26.45
"69","66","43","2019-03-04","21-351","LAC","@","LAL","W (+8)","1","13:48","3","4",".750","0","0","","1","2",".500","1","3","4","1","0","0","0","2","7","6.5","-3",NA,13.05
"70","67","44","2019-03-08","21-355","LAC","","OKC","W (+8)","1","23:20","6","8",".750","0","0","","2","6",".333","0","7","7","1","1","2","2","4","14","10.8","+14",NA,30.65
"71","68","45","2019-03-11","21-358","LAC","","BOS","W (+25)","1","26:40","6","7",".857","0","0","","2","2","1.000","0","7","7","2","0","0","3","5","14","10.0","+10",NA,21.9
"72","69","46","2019-03-12","21-359","LAC","","POR","L (-21)","1","22:12","4","15",".267","0","0","","2","2","1.000","9","6","15","2","0","0","1","2","10","8.8","-9",NA,29.5
"73","70","47","2019-03-15","21-362","LAC","","CHI","W (+7)","1","23:33","4","8",".500","0","0","","1","1","1.000","4","3","7","2","0","0","0","5","9","8.1","+3",NA,19.9
"74","71","48","2019-03-17","21-364","LAC","","BRK","W (+3)","1","13:59","1","9",".111","0","0","","1","2",".500","7","1","8","2","0","2","2","2","3","1.9","-3",NA,19.1
"75","72","49","2019-03-19","22-001","LAC","","IND","W (+6)","1","18:44","4","6",".667","0","0","","4","4","1.000","4","5","9","1","0","0","5","1","12","9.0","+3",NA,19.05
"76","73","50","2019-03-22","22-004","LAC","@","CLE","W (+2)","1","17:27","2","2","1.000","0","0","","2","2","1.000","1","7","8","2","0","3","0","0","6","11.7","+2",NA,27.1
"77","74","51","2019-03-24","22-006","LAC","@","NYK","W (+11)","1","19:55","4","5",".800","0","0","","2","2","1.000","3","7","10","1","0","1","0","2","10","12.9","-10",NA,26.25
"78","75","52","2019-03-26","22-008","LAC","@","MIN","W (+11)","1","20:44","4","5",".800","0","0","","0","0","","2","4","6","2","1","0","2","4","8","7.5","+3",NA,18.7
"79","76","53","2019-03-28","22-010","LAC","@","MIL","L (-10)","1","17:45","5","8",".625","0","0","","0","0","","2","4","6","1","1","0","1","3","10","8.5","+3",NA,20.45
"80","77","54","2019-03-30","22-012","LAC","","CLE","W (+24)","1","16:25","3","3","1.000","0","0","","0","0","","0","5","5","0","0","1","1","5","6","4.3","+14",NA,14
"81","78","55","2019-03-31","22-013","LAC","","MEM","W (+17)","1","21:02","6","7",".857","0","0","","1","2",".500","0","4","4","0","1","1","3","3","13","8.8","+9",NA,20.8
"82","79","56","2019-04-03","22-016","LAC","","HOU","L (-32)","1","20:08","1","3",".333","0","0","","3","4",".750","2","6","8","1","3","1","1","2","5","8.7","-8",NA,26.85
"83","80","57","2019-04-05","22-018","LAC","","LAL","L (-5)","1","18:53","5","8",".625","0","0","","1","1","1.000","1","7","8","0","0","1","1","0","11","9.9","+4",NA,22.6
"85","81","58","2019-04-07","22-020","LAC","@","GSW","L (-27)","0","20:56","2","8",".250","0","0","","3","4",".750","3","5","8","1","0","0","0","0","7","6.1","-25",NA,17.85
"86","82","59","2019-04-10","22-023","LAC","","UTA","W (+6)","1","29:47","10","13",".769","0","0","","2","2","1.000","4","7","11","2","0","3","3","2","22","21.5","0",NA,43.7
