"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"17","17","16","2018-11-25","36-054","LAL","","ORL","L (-4)","0","14:36","1","1","1.000","0","0","","0","0","","0","3","3","1","0","0","2","1","2","0.9","-12",NA,4.85
"18","18","17","2018-11-27","36-056","LAL","@","DEN","L (-32)","0","20:16","1","1","1.000","0","0","","2","4",".500","2","3","5","1","1","0","0","3","4","5.7","-5",NA,14.25
"19","19","18","2018-11-29","36-058","LAL","","IND","W (+8)","0","25:31","0","3",".000","0","0","","3","4",".750","1","8","9","2","0","2","1","4","3","3.8","+18",NA,21.3
"20","20","19","2018-11-30","36-059","LAL","","DAL","W (+11)","0","22:10","6","6","1.000","0","0","","1","1","1.000","5","7","12","0","1","0","0","2","13","17.0","+13",NA,30.4
"22","21","20","2018-12-02","36-061","LAL","","PHO","W (+24)","0","17:27","1","3",".333","0","0","","1","2",".500","3","8","11","0","0","0","1","2","3","3.6","+23",NA,15.2
"23","22","21","2018-12-05","36-064","LAL","","SAS","W (+8)","0","28:05","0","0","","0","0","","2","2","1.000","0","9","9","1","1","0","0","2","2","5.6","+27",NA,17.05
"24","23","22","2018-12-07","36-066","LAL","@","SAS","L (-13)","0","18:31","1","1","1.000","0","0","","2","2","1.000","0","4","4","0","1","0","1","3","4","3.7","-3",NA,10.8
"25","24","23","2018-12-08","36-067","LAL","@","MEM","W (+23)","0","22:27","1","2",".500","0","0","","2","2","1.000","4","10","14","1","1","0","0","1","4","10.1","+22",NA,25.05
"26","25","24","2018-12-10","36-069","LAL","","MIA","W (+3)","0","24:36","2","3",".667","0","0","","0","0","","3","2","5","2","1","0","0","2","4","7.0","-15",NA,15.5
"27","26","25","2018-12-13","36-072","LAL","@","HOU","L (-15)","0","17:42","0","1",".000","0","0","","0","0","","2","6","8","1","0","0","0","3","0","2.0","-9",NA,10.85
"28","27","26","2018-12-15","36-074","LAL","@","CHO","W (+28)","0","16:29","1","1","1.000","0","0","","1","2",".500","1","4","5","0","0","1","1","5","3","1.9","+9",NA,11
"29","28","27","2018-12-16","36-075","LAL","@","WAS","L (-18)","1","19:37","1","3",".333","0","0","","0","0","","3","4","7","0","2","1","1","0","2","5.3","-29",NA,18.4
"30","29","28","2018-12-18","36-077","LAL","@","BRK","L (-5)","1","17:08","2","2","1.000","0","0","","1","2",".500","2","2","4","3","0","2","0","2","5","8.7","-3",NA,19.55
