"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"41","40","30","2019-01-09","26-280","BOS","","IND","W (+27)","0","17:46","4","7",".571","0","2",".000","4","4","1.000","3","3","6","1","0","2","0","3","12","12.6","+6",NA,26.45
"43","41","31","2019-01-10","26-281","BOS","@","MIA","L (-16)","0","13:03","1","4",".250","0","0","","0","0","","3","0","3","0","1","0","0","0","2","2.7","-5",NA,8.6
"44","42","32","2019-01-12","26-283","BOS","@","ORL","L (-2)","0","15:40","2","6",".333","0","2",".000","0","0","","1","2","3","1","0","0","0","2","4","1.8","-16",NA,8.85
"45","43","33","2019-01-14","26-285","BOS","@","BRK","L (-7)","0","18:25","1","2",".500","0","1",".000","3","4",".750","2","2","4","2","2","1","0","3","5","8.5","+5",NA,21.3
"47","45","34","2019-01-18","26-289","BOS","","MEM","W (+6)","0","2:22","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","2","0","-0.5","+1",NA,1.2
"48","46","35","2019-01-19","26-290","BOS","@","ATL","W (+8)","0","5:35","2","2","1.000","1","1","1.000","0","0","","1","0","1","0","0","0","0","2","5","4.3","+2",NA,6.2
"50","48","36","2019-01-23","26-294","BOS","","CLE","W (+20)","0","14:53","1","3",".333","0","0","","0","0","","2","3","5","3","1","0","0","1","2","5.3","+9",NA,14.75
"51","49","37","2019-01-26","26-297","BOS","","GSW","L (-4)","0","3:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"53","51","38","2019-01-30","26-301","BOS","","CHO","W (+32)","0","14:52","1","1","1.000","0","0","","3","4",".750","2","5","7","1","0","2","0","3","5","8.1","+15",NA,20.65
"55","53","39","2019-02-03","26-305","BOS","","OKC","W (+5)","0","17:20","5","6",".833","2","2","1.000","2","2","1.000","1","1","2","0","1","1","0","3","14","13.3","-1",NA,22.4
"56","54","40","2019-02-05","26-307","BOS","@","CLE","W (+7)","0","18:06","3","3","1.000","0","0","","0","0","","0","3","3","3","1","2","1","0","6","9.5","+6",NA,21.35
"57","55","41","2019-02-07","26-309","BOS","","LAL","L (-1)","0","22:45","9","11",".818","2","2","1.000","0","0","","3","3","6","2","0","2","1","4","20","19.1","+14",NA,34.7
"58","56","42","2019-02-09","26-311","BOS","","LAC","L (-11)","0","16:25","4","4","1.000","2","2","1.000","0","0","","2","3","5","0","1","0","1","2","10","10.3","+9",NA,18
"59","57","43","2019-02-12","26-314","BOS","@","PHI","W (+3)","0","12:49","2","2","1.000","1","1","1.000","1","2",".500","0","1","1","2","0","0","0","2","6","5.9","+1",NA,9.7
"60","58","44","2019-02-13","26-315","BOS","","DET","W (+8)","0","17:08","2","6",".333","0","2",".000","2","2","1.000","1","2","3","2","0","1","0","3","6","4.8","-16",NA,15.1
"61","59","45","2019-02-21","26-323","BOS","@","MIL","L (-1)","0","6:12","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-9",NA,0
"62","60","46","2019-02-23","26-325","BOS","@","CHI","L (-10)","0","17:07","3","3","1.000","0","0","","2","2","1.000","0","4","4","2","0","2","1","2","8","9.3","-5",NA,20.3
"64","61","47","2019-02-26","26-328","BOS","@","TOR","L (-23)","0","8:42","0","1",".000","0","0","","0","0","","0","2","2","0","0","1","1","1","0","-0.8","0",NA,4.4
"65","62","48","2019-02-27","26-329","BOS","","POR","L (-5)","0","10:00","0","5",".000","0","2",".000","0","0","","0","0","0","2","0","1","0","3","0","-2.6","-2",NA,5.5
"66","63","49","2019-03-01","26-331","BOS","","WAS","W (+11)","0","18:03","5","9",".556","1","3",".333","0","0","","3","2","5","1","2","0","0","3","11","10.9","-6",NA,24.25
"67","64","50","2019-03-03","26-333","BOS","","HOU","L (-11)","0","8:28","1","1","1.000","0","0","","0","0","","1","2","3","1","1","0","2","2","2","1.9","+7",NA,7.85
