"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"37","36","1","2018-12-31","23-032","ORL","@","CHO","L (-25)","0","5:29","2","3",".667","1","1","1.000","0","0","","0","1","1","2","1","0","0","0","5","6.4","+10",NA,11.7
"38","37","2","2019-01-02","23-034","ORL","@","CHI","W (+28)","0","3:48","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","0","0","0.3","+1",NA,2.45
"73","70","3","2019-03-14","23-105","ORL","","CLE","W (+29)","0","2:53","1","2",".500","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.0","0",NA,3
"77","74","4","2019-03-25","23-116","ORL","","PHI","W (+21)","0","3:28","1","2",".500","0","0","","0","0","","1","0","1","1","0","0","0","0","2","2.4","-3",NA,4.45
