,Player,Pos,Team,Salary,Score
0,Darren Collison,PG,IND,$4900,40.1
1,Ryan Arcidiacono,PG,CHI,$4100,34.8
2,James Harden,SG,HOU,$11700,81.1
3,Eric Gordon,SG,HOU,$5100,40.4
4,Kevin Durant,SF,GS,$11500,77.7
5,Doug McDermott,SF,IND,$3700,31.2
6,Larry Nance Jr.,PF,CLE,$5300,39.1
7,Markieff Morris,PF,WAS,$4700,40.5
8,Nikola Vucevic,C,ORL,$9000,55.4
