,Player,Pos,Team,Salary,Score
0,Russell Westbrook,PG,OKC,$11800,77
1,Reggie Jackson,PG,DET,$5700,56
2,Bradley Beal,SG,WAS,$9400,65.7
3,Damyean Dotson,SG,NY,$3800,29.1
4,Paul George,SF,OKC,$11800,69.3
5,Tyreke Evans,SF,IND,$3700,36.1
6,Derrick Favors,PF,UTA,$5800,46.2
7,Cheick Diallo,PF,NO,$3800,42.1
8,Joakim Noah,C,MEM,$4000,47.7
