,Player,Pos,Team,Salary,Score
0,Mike Conley,PG,MEM,$8900,48.6
1,Elfrid Payton,PG,NO,$8100,54.6
2,Bradley Beal,SG,WAS,$10500,61.5
3,Devin Booker,SG,PHO,$9000,61.5
4,Darius Miller,SF,NO,$3800,28.4
5,Chandler Parsons,SF,MEM,$3500,33.7
6,Maxi Kleber,PF,DAL,$4100,36.9
7,Dirk Nowitzki,PF,DAL,$3500,33.7
8,Jusuf Nurkic,C,POR,$8600,53.2
