,Player,Pos,Team,Salary,Score
0,Eric Bledsoe,PG,MIL,$7300,44.1
1,Jeremy Lin,PG,ATL,$3700,22.8
2,James Harden,SG,HOU,$13800,71.6
3,Jordan McRae,SG,WAS,$3600,38.5
4,Giannis Antetokounmpo,SF,MIL,$11600,66.5
5,Stanley Johnson,SF,DET,$3600,41.4
6,Marvin Bagley III,PF,SAC,$6200,56.4
7,Jeff Green,PF,WAS,$5400,42.5
8,Mason Plumlee,C,DEN,$4200,37.2
