,Player,Pos,Team,Salary,Score
0,Stephen Curry,PG,GS,$9300,61.3
1,Cameron Payne,PG,CHI,$3700,36
2,Kent Bazemore,SG,ATL,$6700,54.1
3,Damyean Dotson,SG,NY,$4100,40
4,Giannis Antetokounmpo,SF,MIL,$11700,78.6
5,Lance Stephenson,SF,LAL,$3900,47.6
6,Domantas Sabonis,PF,IND,$4900,43
7,PJ Tucker,PF,HOU,$4500,32.6
8,Joel Embiid,C,PHI,$10400,68.8
