,Player,Pos,Team,Salary,Score
0,Damian Lillard,PG,POR,$9300,62
1,Fred VanVleet,PG,TOR,$4800,41.9
2,Bogdan Bogdanovic,SG,SAC,$5900,47.1
3,Josh Okogie,SG,MIN,$4200,35
4,Paul George,SF,OKC,$10400,66.6
5,CJ Miles,SF,TOR,$3700,21.9
6,Marvin Bagley III,PF,SAC,$5600,43.7
7,Josh Jackson,PF,PHO,$4700,51.5
8,Karl-Anthony Towns,C,MIN,$10600,64.1
