,Player,Pos,Team,Salary,Score
0,Stephen Curry,PG,GS,$10000,48.9
1,Shai Gilgeous-Alexander,PG,LAC,$4300,35.1
2,Caris LeVert,SG,BKN,$6800,34.1
3,Wesley Matthews,SG,DAL,$5100,34.9
4,Kevin Durant,SF,GS,$10200,55.6
5,Paul George,SF,OKC,$8900,48.3
6,Draymond Green,PF,GS,$7200,46.3
7,Ryan Anderson,PF,PHO,$3600,22
8,Nerlens Noel,C,OKC,$3900,55
