,Player,Pos,Team,Salary,Score
0,Chris Paul,PG,HOU,$8200,40.4
1,Eric Bledsoe,PG,MIL,$7400,34.1
2,Klay Thompson,SG,GS,$6100,37
3,Andre Iguodala,SG,GS,$5700,33
4,Giannis Antetokounmpo,SF,MIL,$11300,55
5,Nikola Mirotic,SF,MIL,$3900,34.8
6,Draymond Green,PF,GS,$8100,42.9
7,Marcus Morris,PF,BOS,$5600,29.9
8,Robert Williams III,C,BOS,$3500,10
