,Player,Pos,Team,Salary,Score
0,Kyle Lowry,PG,TOR,$8000,40.8
1,Yogi Ferrell,PG,SAC,$3500,9.2
2,Jimmy Butler,SG,PHI,$8100,54
3,Josh Hart,SG,LAL,$4700,42.5
4,Paul George,SF,OKC,$10400,53.4
5,Mikal Bridges,SF,PHO,$3900,30
6,Kyle Kuzma,PF,LAL,$7500,52.6
7,Pascal Siakam,PF,TOR,$6700,39.9
8,Deandre Ayton,C,PHO,$7200,48.4
