,Player,Pos,Team,Salary,Score
0,Kemba Walker,PG,CHA,$8900,53.5
1,Derrick Rose,PG,MIN,$4000,47.5
2,JJ Redick,SG,PHI,$5200,44.8
3,Rodney McGruder,SG,MIA,$3500,40
4,Tyreke Evans,SF,IND,$6700,33.6
5,Michael Kidd-Gilchrist,SF,CHA,$4400,31.6
6,Aaron Gordon,PF,ORL,$8500,46.9
7,Blake Griffin,PF,DET,$8400,57.9
8,Nikola Jokic,C,DEN,$9800,80.9
