,Player,Pos,Team,Salary,Score
0,Kyrie Irving,PG,BOS,$7500,45.5
1,Tony Parker,PG,CHA,$3700,39.7
2,Buddy Hield,SG,SAC,$6600,43.7
3,Rodney Hood,SG,CLE,$5700,39.7
4,Kawhi Leonard,SF,TOR,$9800,57.4
5,Paul George,SF,OKC,$9100,54.4
6,Aaron Gordon,PF,ORL,$7700,44.5
7,Pascal Siakam,PF,TOR,$4400,42
8,Alex Len,C,ATL,$5000,45.3
