,Player,Pos,Team,Salary,Score
0,Jamal Murray,PG,DEN,$8100,40.5
1,Kyle Lowry,PG,TOR,$6900,36.7
2,Danny Green,SG,TOR,$4400,30
3,Torrey Craig,SG,DEN,$3600,22.1
4,Kawhi Leonard,SF,TOR,$10200,48.6
5,Jonathon Simmons,SF,PHI,$3500,11.6
6,Pascal Siakam,PF,TOR,$7500,47.1
7,Zach Collins,PF,POR,$4000,28.1
8,Nikola Jokic,C,DEN,$11200,53.8
