,Player,Pos,Team,Salary,Score
0,Derrick Rose,PG,MIN,$5500,38.1
1,Tyler Johnson,PG,MIA,$4100,29.6
2,Victor Oladipo,SG,IND,$8900,67.7
3,Tim Hardaway Jr.,SG,NY,$7500,49.7
4,Andrew Wiggins,SF,MIN,$6400,42.3
5,Davis Bertans,SF,SA,$3500,31.3
6,Anthony Davis,PF,NO,$11800,71.5
7,Omari Spellman,PF,ATL,$3700,48
8,Hassan Whiteside,C,MIA,$8600,82
