,Player,Pos,Team,Salary,Score
0,Mike Conley,PG,MEM,$8800,47
1,Darren Collison,PG,IND,$4900,33.5
2,Wayne Ellington,SG,MIA,$4700,39.5
3,Allonzo Trier,SG,NY,$3700,43.5
4,Kawhi Leonard,SF,TOR,$10000,44.5
5,Josh Richardson,SF,MIA,$7900,47.6
6,Domantas Sabonis,PF,IND,$7000,45.7
7,Paul Millsap,PF,DEN,$6400,44.2
8,Myles Turner,C,IND,$6300,48.1
