,Player,Pos,Team,Salary,Score
0,Kyrie Irving,PG,BOS,$9900,65
1,D.J. Augustin,PG,ORL,$4600,40.1
2,Luka Doncic,SG,DAL,$9600,53.7
3,Buddy Hield,SG,SAC,$6800,48.3
4,Paul George,SF,OKC,$10000,51.7
5,Norman Powell,SF,TOR,$3500,41.6
6,Paul Millsap,PF,DEN,$6900,50.1
7,Marcus Morris,PF,BOS,$5100,44.6
8,Aron Baynes,C,BOS,$3500,17.3
