,Player,Pos,Team,Salary,Score
0,De'Aaron Fox,PG,SAC,$9000,50.3
1,Tyus Jones,PG,MIN,$4500,38.3
2,CJ McCollum,SG,POR,$6300,43.1
3,Josh Hart,SG,LAL,$3700,38.9
4,Paul George,SF,OKC,$10600,45
5,Brandon Ingram,SF,LAL,$6800,48.9
6,Al-Farouq Aminu,PF,POR,$5200,28.6
7,Kelly Olynyk,PF,MIA,$4000,30.7
8,Karl-Anthony Towns,C,MIN,$9900,90.1
