,Player,Pos,Team,Salary,Score
0,Ben Simmons,PG,PHI,$9700,50.7
1,Mike Conley,PG,MEM,$8600,50.3
2,Devin Booker,SG,PHO,$11300,62.1
3,Dion Waiters,SG,MIA,$4800,47.6
4,Maurice Harkless,SF,POR,$5300,35
5,Norman Powell,SF,TOR,$4000,31.8
6,Luke Kornet,PF,NY,$3500,48.1
7,Jonah Bolden,PF,PHI,$3500,44.1
8,Jonas Valanciunas,C,MEM,$8500,74.5
