,Player,Pos,Team,Salary,Score
0,Emmanuel Mudiay,PG,NY,$5000,27
1,Jeremy Lin,PG,ATL,$4700,31.5
2,Jrue Holiday,SG,NO,$9200,71.8
3,D'Angelo Russell,SG,BKN,$7800,53.6
4,Kelly Oubre Jr.,SF,WAS,$4300,39.5
5,Darius Miller,SF,NO,$3500,22.2
6,Anthony Davis,PF,NO,$12700,62.1
7,Taj Gibson,PF,MIN,$4300,35.7
8,Nikola Jokic,C,DEN,$8500,62.7
