,Player,Pos,Team,Salary,Score
0,Jamal Murray,PG,DEN,$7200,49.5
1,Rajon Rondo,PG,LAL,$6300,53.7
2,Bradley Beal,SG,WAS,$9200,50.6
3,Donovan Mitchell,SG,UTA,$8500,46.5
4,Kevin Durant,SF,GS,$9500,50.9
5,Troy Brown Jr.,SF,WAS,$3500,26.3
6,Bobby Portis,PF,WAS,$6300,63.6
7,Al-Farouq Aminu,PF,POR,$5500,36.2
8,Gorgui Dieng,C,MIN,$3900,34.5
