,Player,Pos,Team,Salary,Score
0,Chris Paul,PG,HOU,$8300,46.5
1,Trae Young,PG,ATL,$7300,42.4
2,James Harden,SG,HOU,$11200,58.9
3,Kent Bazemore,SG,ATL,$6600,47.3
4,Bojan Bogdanovic,SF,IND,$4600,42.2
5,Jonathon Simmons,SF,ORL,$3700,26.9
6,Jayson Tatum,PF,BOS,$6800,41.6
7,Paul Millsap,PF,DEN,$5600,49.6
8,Brook Lopez,C,MIL,$4900,42.3
