,Player,Pos,Team,Salary,Score
0,Fred VanVleet,PG,TOR,$4200,12.9
1,Bryn Forbes,PG,SA,$3900,26.2
2,DeMar DeRozan,SG,SA,$8500,41.6
3,Gary Harris,SG,DEN,$4800,26.5
4,Kawhi Leonard,SF,TOR,$9700,68.2
5,Rudy Gay,SF,SA,$5500,40.1
6,Tobias Harris,PF,PHI,$8500,39
7,Jonah Bolden,PF,PHI,$3500,9.1
8,Nikola Jokic,C,DEN,$11300,66
