,Player,Pos,Team,Salary,Score
0,Kyrie Irving,PG,BOS,$9600,62.9
1,Shai Gilgeous-Alexander,PG,LAC,$3600,42.1
2,D'Angelo Russell,SG,BKN,$7700,54.9
3,Marcus Smart,SG,BOS,$5100,41.7
4,Royce O'Neale,SF,UTA,$4900,39.7
5,Evan Turner,SF,POR,$4200,30.7
6,Blake Griffin,PF,DET,$9800,56.7
7,Taj Gibson,PF,MIN,$4500,36.7
8,Rudy Gobert,C,UTA,$10500,53.5
