,Player,Pos,Team,Salary,Score
0,Russell Westbrook,PG,OKC,$11700,62.4
1,Mike Conley,PG,MEM,$9000,56.1
2,Dennis Schroder,SG,OKC,$5300,31.7
3,Marcus Smart,SG,BOS,$5000,39.3
4,Paul George,SF,OKC,$12000,51.8
5,CJ Miles,SF,TOR,$3600,26.3
6,Jayson Tatum,PF,BOS,$6400,34.4
7,Patrick Patterson,PF,OKC,$3500,16.1
8,Boban Marjanovic,C,LAC,$3500,27.8
