,Player,Pos,Team,Salary,Score
0,Ben Simmons,PG,PHI,$9800,57
1,Trae Young,PG,ATL,$9100,60.4
2,Walter Lemon Jr.,SG,CHI,$4800,41.6
3,Austin Rivers,SG,HOU,$3500,22.1
4,Mario Hezonja,SF,NY,$4100,49.3
5,Evan Turner,SF,POR,$4100,41.9
6,Julius Randle,PF,NO,$8500,56.7
7,Serge Ibaka,PF,TOR,$5300,41.4
8,Andre Drummond,C,DET,$10800,69.3
