,Player,Pos,Team,Salary,Score
0,Damian Lillard,PG,POR,$9800,76.5
1,Cory Joseph,PG,IND,$4000,17
2,CJ McCollum,SG,POR,$8000,36
3,Khris Middleton,SG,MIL,$7500,41.4
4,Paul George,SF,OKC,$11000,63.8
5,Doug McDermott,SF,IND,$3500,7.2
6,Al-Farouq Aminu,PF,POR,$4900,20.8
7,Markieff Morris,PF,OKC,$3600,17.5
8,Myles Turner,C,IND,$7700,56.9
