,Player,Pos,Team,Salary,Score
0,Trae Young,PG,ATL,$7200,51.7
1,Rajon Rondo,PG,LAL,$5600,43
2,Victor Oladipo,SG,IND,$8900,46.9
3,CJ McCollum,SG,POR,$6800,39
4,Justise Winslow,SF,MIA,$4700,46
5,Dante Cunningham,SF,SA,$3600,34.4
6,LaMarcus Aldridge,PF,SA,$8100,44.4
7,Wendell Carter Jr.,PF,CHI,$7400,46.1
8,JaVale McGee,C,LAL,$7600,43.3
