,Player,Pos,Team,Salary,Score
0,Ricky Rubio,PG,UTA,$5900,46.4
1,Tomas Satoransky,PG,WAS,$4500,35.3
2,Devin Booker,SG,PHO,$8900,60.8
3,Bradley Beal,SG,WAS,$8600,70.7
4,Paul George,SF,OKC,$9800,83.8
5,TJ Warren,SF,PHO,$7100,54.6
6,Jonas Jerebko,PF,GS,$3900,37.7
7,James Johnson,PF,MIA,$3800,33.2
8,DeAndre Jordan,C,DAL,$7200,55.1
