,Player,Pos,Team,Salary,Score
0,Damian Lillard,PG,POR,$10500,45
1,Kyrie Irving,PG,BOS,$9000,39.8
2,Tim Hardaway Jr.,SG,NY,$7400,26.2
3,Jaylen Brown,SG,BOS,$4700,25.6
4,Joe Ingles,SF,UTA,$6200,35.7
5,Jake Layman,SF,POR,$3500,36.4
6,Derrick Favors,PF,UTA,$5100,41
7,Noah Vonleh,PF,NY,$5000,33.5
8,Al Horford,C,BOS,$6900,47.9
