,Player,Pos,Team,Salary,Score
0,Stephen Curry,PG,GS,$9900,53.9
1,Derrick Rose,PG,MIN,$5500,66.8
2,Zach LaVine,SG,CHI,$8500,48.5
3,Joe Harris,SG,BKN,$4500,29.5
4,Nikola Mirotic,SF,NO,$7700,46.9
5,E'Twaun Moore,SF,NO,$4400,34.8
6,Wendell Carter Jr.,PF,CHI,$6800,59.1
7,Thaddeus Young,PF,IND,$5600,50.5
8,JaVale McGee,C,LAL,$7000,53.5
