,Player,Pos,Team,Salary,Score
0,Stephen Curry,PG,GS,$9700,64.3
1,Tomas Satoransky,PG,WAS,$3800,38.3
2,Bradley Beal,SG,WAS,$8500,56.7
3,Kent Bazemore,SG,ATL,$5300,46.4
4,Paul George,SF,OKC,$8300,72
5,Rudy Gay,SF,SA,$5500,45.4
6,JaMychal Green,PF,MEM,$4900,38.7
7,Cheick Diallo,PF,NO,$3500,31.5
8,Karl-Anthony Towns,C,MIN,$9600,75.9
