,Player,Pos,Team,Salary,Score
0,De'Aaron Fox,PG,SAC,$8200,65.5
1,Kyrie Irving,PG,BOS,$7600,49.1
2,Buddy Hield,SG,SAC,$8000,48
3,Dennis Schroder,SG,OKC,$5100,33.1
4,Robert Covington,SF,PHI,$6500,41.4
5,Juancho Hernangomez,SF,DEN,$3800,34.8
6,Al-Farouq Aminu,PF,POR,$4900,32
7,Marcus Morris,PF,BOS,$4700,28.5
8,Joel Embiid,C,PHI,$10900,68.1
