,Player,Pos,Team,Salary,Score
0,Russell Westbrook,PG,OKC,$11300,65.9
1,De'Aaron Fox,PG,SAC,$7700,58.4
2,DeMar DeRozan,SG,SA,$8600,64.1
3,Jimmy Butler,SG,PHI,$8100,66.2
4,Kyle Anderson,SF,MEM,$5800,56.2
5,Justise Winslow,SF,MIA,$4900,40.6
6,Bam Adebayo,PF,MIA,$5500,43
7,Trey Lyles,PF,DEN,$3600,25
8,Kyle O'Quinn,C,IND,$3500,39
