,Player,Pos,Team,Salary,Score
0,Kris Dunn,PG,CHI,$5700,56.7
1,Trey Burke,PG,DAL,$3500,18.7
2,James Harden,SG,HOU,$12100,86.4
3,Timothe Luwawu-Cabarrot,SG,CHI,$3500,28.3
4,Kevin Knox,SF,NY,$4500,42.1
5,Stanley Johnson,SF,NO,$3500,32.3
6,Pascal Siakam,PF,TOR,$8200,61.6
7,Lauri Markkanen,PF,CHI,$7400,57.1
8,Joel Embiid,C,PHI,$11600,72.4
