,Player,Pos,Team,Salary,Score
0,Russell Westbrook,PG,OKC,$12000,64.1
1,Fred VanVleet,PG,TOR,$4500,44
2,CJ McCollum,SG,POR,$7500,55.8
3,Andrew Wiggins,SG,MIN,$6000,51.3
4,LeBron James,SF,LAL,$10300,66.4
5,Bojan Bogdanovic,SF,IND,$5700,46.9
6,Pascal Siakam,PF,TOR,$6500,62.8
7,Daniel Theis,PF,BOS,$3900,35.2
8,Nerlens Noel,C,OKC,$3600,24.7
