,Player,Pos,Team,Salary,Score
0,Russell Westbrook,PG,OKC,$12000,57
1,Kemba Walker,PG,CHA,$9300,60.5
2,Terrence Ross,SG,ORL,$5000,42.5
3,Aaron Holiday,SG,IND,$3500,25.7
4,Paul George,SF,OKC,$11500,57.1
5,Jake Layman,SF,POR,$4300,40.6
6,Ivan Rabb,PF,MEM,$3600,42.7
7,James Johnson,PF,MIA,$3500,39.7
8,Hassan Whiteside,C,MIA,$7200,58.2
