,Player,Pos,Team,Salary,Score
0,Russell Westbrook,PG,OKC,$11500,76.2
1,Damian Lillard,PG,POR,$10000,73.4
2,Monte Morris,SG,DEN,$4200,22.3
3,Marco Belinelli,SG,SA,$3500,14.2
4,Paul George,SF,OKC,$10700,46.3
5,Norman Powell,SF,TOR,$3900,21.8
6,Jerami Grant,PF,OKC,$5700,34.1
7,Khem Birch,PF,ORL,$3500,36.7
8,Enes Kanter,C,POR,$6700,37.6
