,Player,Pos,Team,Salary,Score
0,Trae Young,PG,ATL,$7300,46.1
1,Ricky Rubio,PG,UTA,$6300,41.9
2,Malik Beasley,SG,DEN,$4500,42.9
3,Monte Morris,SG,DEN,$4500,42.2
4,Paul George,SF,OKC,$11400,62.9
5,Nicolas Batum,SF,CHA,$5100,34.5
6,Derrick Favors,PF,UTA,$5300,36.4
7,Kelly Olynyk,PF,MIA,$3500,32.4
8,Nikola Jokic,C,DEN,$11500,61.1
