,Player,Pos,Team,Salary,Score
0,Kemba Walker,PG,CHA,$8500,62.2
1,George Hill,PG,MIL,$3700,30.9
2,James Harden,SG,HOU,$13500,89.9
3,Monte Morris,SG,DEN,$4700,42.4
4,Jonathan Isaac,SF,ORL,$5500,40.9
5,Bojan Bogdanovic,SF,IND,$5400,42.9
6,John Collins,PF,ATL,$7100,58.2
7,Bobby Portis,PF,CHI,$5900,48.8
8,Brook Lopez,C,MIL,$5700,40.7
