,Player,Pos,Team,Salary,Score
0,Cory Joseph,PG,IND,$4200,22.4
1,Landry Shamet,PG,PHI,$3500,36.1
2,Klay Thompson,SG,GS,$7500,56.4
3,Andrew Wiggins,SG,MIN,$6500,63
4,Kawhi Leonard,SF,TOR,$10200,64.8
5,Kelly Oubre Jr.,SF,PHO,$3800,48
6,Montrezl Harrell,PF,LAC,$7600,48.7
7,Thaddeus Young,PF,IND,$6000,42.5
8,Nikola Jokic,C,DEN,$10700,57.2
