,Player,Pos,Team,Salary,Score
0,Stephen Curry,PG,GS,$9800,65.5
1,D.J. Augustin,PG,ORL,$5600,38.4
2,Jimmy Butler,SG,PHI,$8200,56.8
3,Lou Williams,SG,LAC,$6700,43.1
4,Will Barton,SF,DEN,$4400,34.5
5,Jared Dudley,SF,BKN,$3600,13
6,Montrezl Harrell,PF,LAC,$6700,46
7,Ed Davis,PF,BKN,$3700,34.2
8,Joel Embiid,C,PHI,$11000,58
