,Player,Pos,Team,Salary,Score
0,Shabazz Napier,PG,BKN,$5100,41.6
1,Tim Frazier,PG,NO,$3500,29.8
2,James Harden,SG,HOU,$13900,69.2
3,Devin Booker,SG,PHO,$8100,54.5
4,Cedi Osman,SF,CLE,$5400,48.5
5,Jabari Parker,SF,CHI,$4000,48.3
6,LaMarcus Aldridge,PF,SA,$8800,52.8
7,Lauri Markkanen,PF,CHI,$7200,45.3
8,JaVale McGee,C,LAL,$3900,42.3
