,Player,Pos,Team,Salary,Score
0,Mike Conley,PG,MEM,$8400,47.6
1,Kris Dunn,PG,CHI,$7200,45.5
2,Bradley Beal,SG,WAS,$9700,49.3
3,Victor Oladipo,SG,IND,$8800,60.4
4,Gordon Hayward,SF,BOS,$5700,42.2
5,Lance Stephenson,SF,LAL,$3700,27.3
6,Domantas Sabonis,PF,IND,$7000,42.9
7,Richaun Holmes,PF,PHO,$4000,39.8
8,Enes Kanter,C,NY,$5500,46.5
