,Player,Pos,Team,Salary,Score
0,Stephen Curry,PG,GS,$9200,62.4
1,Darren Collison,PG,IND,$6600,46.9
2,Luke Kennard,SG,DET,$3500,37.1
3,Furkan Korkmaz,SG,PHI,$3500,30.9
4,Kelly Oubre Jr.,SF,WAS,$4900,41.5
5,Derrick Jones Jr.,SF,MIA,$4200,41.8
6,Anthony Davis,PF,NO,$12400,64.4
7,Tobias Harris,PF,LAC,$7700,52.1
8,Myles Turner,C,IND,$7200,56.9
