,Player,Pos,Team,Salary,Score
0,Ben Simmons,PG,PHI,$9700,63.1
1,Jeremy Lin,PG,ATL,$4000,37.6
2,Victor Oladipo,SG,IND,$9000,54
3,Marcus Smart,SG,BOS,$5100,36.6
4,Joe Ingles,SF,UTA,$5700,48.5
5,Stanley Johnson,SF,DET,$3800,42.4
6,Jayson Tatum,PF,BOS,$6600,44.6
7,Marcus Morris,PF,BOS,$5100,29
8,Joel Embiid,C,PHI,$11000,78.6
