,Player,Pos,Team,Salary,Score
0,Lonzo Ball,PG,LAL,$6900,59
1,Kris Dunn,PG,CHI,$5500,41.9
2,Devin Booker,SG,PHO,$7900,44.9
3,Marcus Smart,SG,BOS,$5500,42.1
4,Paul George,SF,OKC,$9700,56.4
5,Mikal Bridges,SF,PHO,$4600,35
6,Lauri Markkanen,PF,CHI,$6400,42.9
7,Jon Leuer,PF,DET,$3500,9.8
8,Andre Drummond,C,DET,$9800,67.5
