No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
23.0,Draymond Green,PF,79.0,230,"March 4, 1990",us,7,Michigan State
30.0,Stephen Curry,PG,75.0,190,"March 14, 1988",us,10,Davidson
4.0,Omari Spellman,PF,81.0,245,"July 21, 1997",us,1,Villanova
10.0,Jacob Evans,SG,78.0,210,"June 18, 1997",us,1,Cincinnati
3.0,Jordan Poole,SG,77.0,195,"June 19, 1999",us,R,Michigan
,Alen Smailagic,F,82.0,215,"August 18, 2000",rs,R,
7.0,Eric Paschall,PF,81.0,255,"November 4, 1996",us,R,"Fordham, Villanova"
0.0,D'Angelo Russell,SG,77.0,198,"February 23, 1996",us,4,Ohio State
,Willie Cauley-Stein,F-C,84.0,240,"August 18, 1993",us,4,Kentucky
22.0,Glenn Robinson III,SF,78.0,222,"January 8, 1994",us,5,Michigan
,Klay Thompson,G-F,79.0,215,"February 8, 1990",us,8,Washington State
5.0,Kevon Looney,C,81.0,220,"February 6, 1996",us,4,UCLA
,Alec Burks,G,78.0,214,"July 20, 1991",us,8,Colorado
1.0,Damion Lee  (TW),SG,78.0,210,"October 21, 1992",us,2,"Drexel, Louisville"
12.0,Ky Bowman  (TW),PG,74.0,181,"June 16, 1997",us,R,Boston College
32.0,Marquese Chriss,PF,82.0,240,"July 2, 1997",us,3,Washington
