No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
0.0,Damian Lillard,PG,74.0,195,"July 15, 1990",us,7,Weber State
3.0,CJ McCollum,SG,75.0,197,"September 19, 1991",us,6,Lehigh
24.0,Kent Bazemore,SF,76.0,195,"July 1, 1989",us,7,Old Dominion
21.0,Hassan Whiteside,C,82.0,235,"June 13, 1989",us,7,Marshall
17.0,Skal Labissiere,PF,82.0,216,"March 18, 1996",ht,3,Kentucky
33.0,Zach Collins,PF,83.0,232,"November 19, 1997",us,2,Gonzaga
1.0,Anfernee Simons,SG,75.0,181,"June 8, 1999",us,1,
,Jusuf Nurkic,C,84.0,280,"August 23, 1994",ba,5,
2.0,Gary Trent Jr.,SG,77.0,209,"January 18, 1999",us,1,Duke
9.0,Nassir Little,SF,77.0,220,"February 11, 2000",us,R,UNC
43.0,Anthony Tolliver,PF,80.0,240,"June 1, 1985",us,11,Creighton
44.0,Mario Hezonja,SF,80.0,201,"February 25, 1995",hr,4,
5.0,Rodney Hood,SF,80.0,208,"October 20, 1992",us,5,"Mississippi State, Duke"
,Jaylen Hoard  (TW),F,80.0,216,"March 30, 1999",fr,R,Wake Forest
,Pau Gasol,F-C,85.0,250,"July 6, 1980",es,18,
,Moses Brown,C,86.0,245,"October 13, 1999",us,R,UCLA
